t(s)	a(g)
0	0.000379726
0.005	-0.015709701
0.01	-0.015659128
0.015	-0.015618556
0.02	-0.015577985
0.025	-0.015537415
0.03	-0.015536845
0.035	-0.015496275
0.04	-0.015445707
0.045	-0.015405139
0.05	-0.015364571
0.055	-0.015284005
0.06	-0.015233438
0.065	-0.015152873
0.07	-0.015112308
0.075	-0.015071744
0.08	-0.01502118
0.085	-0.014980618
0.09	-0.014940055
0.095	-0.014899494
0.1	-0.014858933
0.105	-0.014858372
0.11	-0.014857813
0.115	-0.014807254
0.12	-0.014766695
0.125	-0.014806138
0.13	-0.014855581
0.135	-0.014895024
0.14	-0.014804469
0.145	-0.014683913
0.15	-0.014553359
0.155	-0.014512805
0.16	-0.014552252
0.165	-0.0147217
0.17	-0.014931148
0.175	-0.015010597
0.18	-0.015010046
0.185	-0.014799497
0.19	-0.014508947
0.195	-0.014218399
0.2	-0.013957851
0.205	-0.013587304
0.21	-0.013246758
0.215	-0.012996212
0.22	-0.012825667
0.225	-0.012695122
0.23	-0.012744578
0.235	-0.012954035
0.24	-0.013373493
0.245	-0.013702951
0.25	-0.01391241
0.255	-0.01404187
0.26	-0.01404133
0.265	-0.013870791
0.27	-0.013740252
0.275	-0.013699715
0.28	-0.013529178
0.285	-0.013108641
0.29	-0.012358106
0.295	-0.011637571
0.3	-0.011177037
0.305	-0.011096503
0.31	-0.01147597
0.315	-0.012355438
0.32	-0.013614906
0.325	-0.014784375
0.33	-0.015583845
0.335	-0.015883316
0.34	-0.015622787
0.345	-0.014662259
0.35	-0.012891732
0.355	-0.010881205
0.36	-0.009070679
0.365	-0.007810154
0.37	-0.007269629
0.375	-0.007559105
0.38	-0.008738582
0.385	-0.010668059
0.39	-0.013187538
0.395	-0.015787017
0.4	-0.017976496
0.405	-0.019355976
0.41	-0.020025457
0.415	-0.020154939
0.42	-0.019604422
0.425	-0.018223905
0.43	-0.016163388
0.435	-0.013772873
0.44	-0.011252358
0.445	-0.008641844
0.45	-0.005871331
0.455	-0.003100818
0.46	-0.000490306
0.465	0.001650205
0.47	0.003030715
0.475	0.003121225
0.48	0.000771734
0.485	-0.004737758
0.49	-0.01250725
0.495	-0.020356743
0.5	-0.026066237
0.505	-0.027875731
0.51	-0.025565227
0.515	-0.020734723
0.52	-0.016024219
0.525	-0.013463717
0.53	-0.013763215
0.535	-0.016022714
0.54	-0.018332213
0.545	-0.018461714
0.55	-0.015231215
0.555	-0.008930717
0.56	-0.001070219
0.565	0.006450278
0.57	0.011570774
0.575	0.012961269
0.58	0.010771764
0.585	0.006702257
0.59	0.001742751
0.595	-0.003676757
0.6	-0.008666265
0.605	-0.012235775
0.61	-0.013915284
0.615	-0.014334795
0.62	-0.014844306
0.625	-0.016013818
0.63	-0.017743331
0.635	-0.019162845
0.64	-0.019882359
0.645	-0.019671874
0.65	-0.01795139
0.655	-0.013870906
0.66	-0.007320424
0.665	0.001370058
0.67	0.01103054
0.675	0.01969102
0.68	0.0248115
0.685	0.024561979
0.69	0.017842457
0.695	0.004862935
0.7	-0.012226589
0.705	-0.028696113
0.71	-0.039825637
0.715	-0.042725163
0.72	-0.037804689
0.725	-0.027934216
0.73	-0.018063744
0.735	-0.012353273
0.74	-0.012182802
0.745	-0.014832332
0.75	-0.015291863
0.755	-0.009071394
0.76	0.005329073
0.765	0.02536954
0.77	0.045440006
0.775	0.058340472
0.78	0.057200936
0.785	0.0391414
0.79	0.007261863
0.795	-0.031207674
0.8	-0.066237213
0.805	-0.088746752
0.81	-0.096096292
0.815	-0.093155833
0.82	-0.085805374
0.825	-0.076814917
0.83	-0.06354446
0.835	-0.041284004
0.84	-0.008103548
0.845	0.032976906
0.85	0.07396736
0.855	0.105427813
0.86	0.120548266
0.865	0.117648717
0.87	0.098329168
0.875	0.068339618
0.88	0.034780067
0.885	0.003240515
0.89	-0.023809037
0.895	-0.04690859
0.9	-0.067358144
0.905	-0.083567699
0.91	-0.090377255
0.915	-0.081506811
0.92	-0.054546368
0.925	-0.014515926
0.93	0.028784515
0.935	0.062504956
0.94	0.075695396
0.945	0.065575835
0.95	0.039616273
0.955	0.00757671
0.96	-0.020602853
0.965	-0.038162417
0.97	-0.045761982
0.975	-0.049841548
0.98	-0.052821115
0.985	-0.053360682
0.99	-0.05063025
0.995	-0.045589819
1	-0.039879389
1.005	-0.03219896
1.01	-0.019298531
1.015	0.000401897
1.02	0.025262324
1.025	0.05046275
1.03	0.069953176
1.035	0.0790236
1.04	0.077174024
1.045	0.068394447
1.05	0.059364869
1.055	0.055845291
1.06	0.059785711
1.065	0.067266131
1.07	0.07007655
1.075	0.061006969
1.08	0.039047386
1.085	0.011197802
1.09	-0.013241782
1.095	-0.024961367
1.1	-0.018580953
1.105	0.001709461
1.11	0.021449873
1.115	0.026490285
1.12	0.010490696
1.125	-0.021728894
1.13	-0.058768485
1.135	-0.088378076
1.14	-0.097997669
1.145	-0.079137262
1.15	-0.034496856
1.155	0.021833549
1.16	0.072353954
1.165	0.106464357
