t(s)	a(g)
0	-0.00010
0.005	-0.00010
0.01	-0.00010
0.015	-0.00010
0.02	-0.00012
0.025	-0.00013
0.03	-0.00013
0.035	-0.00013
0.04	-0.00011
0.045	-0.00011
0.05	-0.00012
0.055	-0.00011
0.06	-0.00011
0.065	-0.00013
0.07	-0.00013
0.075	-0.00013
0.08	-0.00012
0.085	-0.00012
0.09	-0.00011
0.095	-0.00011
0.1	-0.00011
0.105	-0.00013
0.11	-0.00013
0.115	-0.00013
0.12	-0.00011
0.125	-0.00010
0.13	-0.00010
0.135	-0.00011
0.14	-0.00012
0.145	-0.00011
0.15	-0.00011
0.155	-0.00010
0.16	-0.00010
0.165	-0.00011
0.17	-0.00011
0.175	-0.00011
0.18	-0.00011
0.185	-0.00011
0.19	-0.00010
0.195	-0.00009
0.2	-0.00011
0.205	-0.00009
0.21	-0.00008
0.215	-0.00009
0.22	-0.00010
0.225	-0.00010
0.23	-0.00009
0.235	-0.00008
0.24	-0.00009
0.245	-0.00011
0.25	-0.00013
0.255	-0.00013
0.26	-0.00010
0.265	-0.00010
0.27	-0.00010
0.275	-0.00010
0.28	-0.00010
0.285	-0.00011
0.29	-0.00010
0.295	-0.00009
0.3	-0.00009
0.305	-0.00009
0.31	-0.00009
0.315	-0.00011
0.32	-0.00009
0.325	-0.00008
0.33	-0.00008
0.335	-0.00009
0.34	-0.00009
0.345	-0.00009
0.35	-0.00008
0.355	-0.00006
0.36	-0.00007
0.365	-0.00009
0.37	-0.00010
0.375	-0.00009
0.38	-0.00009
0.385	-0.00008
0.39	-0.00007
0.395	-0.00008
0.4	-0.00009
0.405	-0.00008
0.41	-0.00008
0.415	-0.00008
0.42	-0.00008
0.425	-0.00009
0.43	-0.00009
0.435	-0.00008
0.44	-0.00008
0.445	-0.00006
0.45	-0.00008
0.455	-0.00006
0.46	-0.00006
0.465	-0.00008
0.47	-0.00010
0.475	-0.00010
0.48	-0.00007
0.485	-0.00006
0.49	-0.00008
0.495	-0.00009
0.5	-0.00009
0.505	-0.00008
0.51	-0.00006
0.515	-0.00008
0.52	-0.00008
0.525	-0.00008
0.53	-0.00008
0.535	-0.00008
0.54	-0.00006
0.545	-0.00005
0.55	-0.00006
0.555	-0.00006
0.56	-0.00007
0.565	-0.00008
0.57	-0.00008
0.575	-0.00006
0.58	-0.00006
0.585	-0.00006
0.59	-0.00006
0.595	-0.00005
0.6	-0.00005
0.605	-0.00006
0.61	-0.00008
0.615	-0.00008
0.62	-0.00006
0.625	-0.00006
0.63	-0.00006
0.635	-0.00006
0.64	-0.00004
0.645	-0.00004
0.65	-0.00005
0.655	-0.00004
0.66	-0.00004
0.665	-0.00004
0.67	-0.00005
0.675	-0.00004
0.68	-0.00004
0.685	-0.00005
0.69	-0.00005
0.695	-0.00005
0.7	-0.00005
0.705	-0.00003
0.71	-0.00003
0.715	-0.00003
0.72	-0.00005
0.725	-0.00005
0.73	-0.00004
0.735	-0.00005
0.74	-0.00005
0.745	-0.00004
0.75	-0.00004
0.755	-0.00003
0.76	-0.00003
0.765	-0.00005
0.77	-0.00005
0.775	-0.00002
0.78	-0.00002
0.785	-0.00004
0.79	-0.00004
0.795	-0.00003
0.8	-0.00003
0.805	-0.00003
0.81	-0.00003
0.815	-0.00002
0.82	-0.00001
0.825	-0.00001
0.83	-0.00001
0.835	-0.00001
0.84	-0.00001
0.845	-0.00002
0.85	-0.00003
0.855	-0.00003
0.86	-0.00002
0.865	-0.00001
0.87	-0.00001
0.875	0.00000
0.88	0.00000
0.885	0.00000
0.89	0.00000
0.895	-0.00001
0.9	-0.00002
0.905	0.00000
0.91	0.00001
0.915	0.00000
0.92	-0.00001
0.925	-0.00001
0.93	0.00000
0.935	0.00002
0.94	0.00002
0.945	0.00000
0.95	0.00000
0.955	0.00000
0.96	0.00000
0.965	-0.00005
0.97	-0.00007
0.975	-0.00004
0.98	0.00001
0.985	0.00000
0.99	0.00000
0.995	0.00002
1	0.00002
1.005	0.00002
1.01	0.00002
1.015	0.00000
1.02	0.00000
1.025	0.00000
1.03	0.00000
1.035	0.00000
1.04	0.00000
1.045	0.00002
1.05	0.00002
1.055	0.00002
1.06	0.00002
1.065	0.00002
1.07	0.00002
1.075	0.00002
1.08	0.00002
1.085	0.00002
1.09	0.00002
1.095	0.00003
1.1	0.00003
1.105	0.00003
1.11	0.00004
1.115	0.00003
1.12	0.00001
1.125	0.00002
1.13	0.00004
1.135	0.00002
1.14	0.00002
1.145	0.00000
1.15	0.00000
1.155	0.00002
1.16	0.00004
1.165	0.00003
1.17	0.00002
1.175	0.00004
1.18	0.00005
1.185	0.00004
1.19	0.00002
1.195	0.00002
1.2	0.00004
1.205	0.00006
1.21	0.00005
1.215	0.00002
1.22	0.00002
1.225	0.00002
1.23	0.00003
1.235	0.00002
1.24	0.00003
1.245	0.00005
1.25	0.00006
1.255	0.00006
1.26	0.00004
1.265	0.00004
1.27	0.00004
1.275	0.00005
1.28	0.00005
1.285	0.00004
1.29	0.00003
1.295	0.00004
1.3	0.00005
1.305	0.00007
1.31	0.00007
1.315	0.00006
1.32	0.00006
1.325	0.00006
1.33	0.00007
1.335	0.00008
1.34	0.00009
1.345	0.00007
1.35	0.00005
1.355	0.00005
1.36	0.00007
1.365	0.00005
1.37	0.00004
1.375	0.00006
1.38	0.00008
1.385	0.00008
1.39	0.00008
1.395	0.00007
1.4	0.00007
1.405	0.00008
1.41	0.00008
1.415	0.00007
1.42	0.00005
1.425	0.00008
1.43	0.00008
1.435	0.00008
1.44	0.00008
