t(s)	a(g)
0	0.0001
0.01	0.0001
0.02	0.0003
0.03	0.0006
0.04	0.0007
0.05	0.0007
0.06	0.0004
0.07	0.0000
0.08	-0.0002
0.09	-0.0002
0.1	-0.0002
0.11	-0.0002
0.12	-0.0004
0.13	-0.0006
0.14	-0.0006
0.15	-0.0005
0.16	-0.0002
0.17	0.0003
0.18	0.0007
0.19	0.0010
0.2	0.0010
0.21	0.0006
0.22	0.0003
0.23	0.0001
0.24	0.0003
0.25	0.0003
0.26	0.0003
0.27	0.0003
0.28	0.0004
0.29	0.0006
0.3	0.0009
0.31	0.0012
0.32	0.0012
0.33	0.0011
0.34	0.0007
0.35	0.0003
0.36	0.0000
0.37	-0.0002
0.38	-0.0002
0.39	-0.0002
0.4	-0.0002
0.41	-0.0002
0.42	-0.0001
0.43	0.0001
0.44	0.0001
0.45	0.0001
0.46	-0.0001
0.47	-0.0002
0.48	-0.0004
0.49	-0.0005
0.5	-0.0006
0.51	-0.0004
0.52	-0.0001
0.53	0.0003
0.54	0.0005
0.55	0.0007
0.56	0.0011
0.57	0.0012
0.58	0.0014
0.59	0.0012
0.6	0.0007
0.61	0.0003
0.62	0.0000
0.63	-0.0002
0.64	-0.0002
0.65	-0.0002
0.66	-0.0004
0.67	-0.0005
0.68	-0.0007
0.69	-0.0011
0.7	-0.0012
0.71	-0.0010
0.72	-0.0006
0.73	-0.0001
0.74	0.0004
0.75	0.0007
0.76	0.0009
0.77	0.0011
0.78	0.0012
0.79	0.0012
0.8	0.0011
0.81	0.0009
0.82	0.0006
0.83	0.0005
0.84	0.0004
0.85	0.0003
0.86	0.0003
0.87	0.0004
0.88	0.0006
0.89	0.0007
0.9	0.0007
0.91	0.0007
0.92	0.0003
0.93	-0.0005
0.94	-0.0010
0.95	-0.0012
0.96	-0.0010
0.97	-0.0004
0.98	0.0003
0.99	0.0009
1	0.0009
1.01	0.0006
1.02	0.0001
1.03	-0.0004
1.04	-0.0010
1.05	-0.0012
1.06	-0.0015
1.07	-0.0013
1.08	-0.0010
1.09	-0.0002
1.1	0.0007
1.11	0.0011
1.12	0.0009
1.13	0.0009
1.14	0.0012
1.15	0.0020
1.16	0.0023
1.17	0.0027
1.18	0.0027
1.19	0.0022
1.2	0.0014
1.21	0.0001
1.22	-0.0008
1.23	-0.0016
1.24	-0.0021
1.25	-0.0022
1.26	-0.0019
1.27	-0.0012
1.28	-0.0004
1.29	-0.0001
1.3	-0.0002
1.31	-0.0001
1.32	0.0003
1.33	0.0014
1.34	0.0023
1.35	0.0025
1.36	0.0012
1.37	-0.0001
1.38	-0.0006
1.39	-0.0006
1.4	-0.0007
1.41	-0.0011
1.42	-0.0011
1.43	-0.0004
1.44	0.0010
1.45	0.0022
1.46	0.0027
1.47	0.0025
1.48	0.0017
1.49	0.0012
1.5	0.0012
1.51	0.0015
1.52	0.0016
1.53	0.0016
1.54	0.0016
1.55	0.0012
1.56	0.0005
1.57	0.0001
1.58	0.0003
1.59	0.0009
1.6	0.0014
1.61	0.0017
1.62	0.0016
1.63	0.0009
1.64	-0.0005
1.65	-0.0018
1.66	-0.0027
1.67	-0.0032
1.68	-0.0033
1.69	-0.0027
1.7	-0.0015
1.71	0.0003
1.72	0.0012
1.73	0.0014
1.74	0.0012
1.75	0.0012
1.76	0.0011
1.77	0.0007
1.78	0.0003
1.79	-0.0001
1.8	0.0001
1.81	0.0007
1.82	0.0014
1.83	0.0010
1.84	-0.0002
1.85	-0.0007
1.86	0.0001
1.87	0.0009
1.88	0.0009
1.89	0.0007
1.9	0.0007
1.91	0.0001
1.92	-0.0007
1.93	-0.0011
1.94	-0.0013
1.95	-0.0018
1.96	-0.0022
1.97	-0.0022
1.98	-0.0024
1.99	-0.0032
2	-0.0030
2.01	-0.0015
2.02	-0.0002
2.03	-0.0001
2.04	0.0003
2.05	0.0012
2.06	0.0017
2.07	0.0012
2.08	0.0007
2.09	0.0007
2.1	-0.0001
2.11	-0.0010
2.12	-0.0012
2.13	-0.0010
2.14	-0.0004
2.15	0.0011
2.16	0.0036
2.17	0.0051
2.18	0.0050
2.19	0.0043
2.2	0.0039
2.21	0.0037
2.22	0.0036
2.23	0.0038
2.24	0.0033
2.25	0.0012
2.26	-0.0017
2.27	-0.0032
2.28	-0.0032
2.29	-0.0023
2.3	-0.0019
2.31	-0.0019
2.32	-0.0019
2.33	-0.0021
2.34	-0.0019
2.35	-0.0011
2.36	0.0000
2.37	0.0004
2.38	0.0000
2.39	0.0001
2.4	0.0012
2.41	0.0025
2.42	0.0023
2.43	0.0020
2.44	0.0021
2.45	0.0021
2.46	0.0022
2.47	0.0017
2.48	0.0004
2.49	-0.0015
2.5	-0.0029
2.51	-0.0037
2.52	-0.0046
2.53	-0.0062
2.54	-0.0071
2.55	-0.0059
2.56	-0.0034
2.57	-0.0015
2.58	0.0000
2.59	0.0022
2.6	0.0047
2.61	0.0064
2.62	0.0066
2.63	0.0062
2.64	0.0056
2.65	0.0042
2.66	0.0029
2.67	0.0023
2.68	0.0012
2.69	-0.0018
2.7	-0.0055
2.71	-0.0079
2.72	-0.0087
2.73	-0.0081
2.74	-0.0056
2.75	-0.0017
2.76	0.0016
2.77	0.0026
2.78	0.0022
2.79	0.0009
2.8	-0.0005
2.81	-0.0016
2.82	-0.0026
2.83	-0.0038
2.84	-0.0044
2.85	-0.0032
2.86	-0.0013
2.87	-0.0008
2.88	-0.0022
2.89	-0.0041
2.9	-0.0051
2.91	-0.0038
2.92	-0.0007
2.93	0.0034
2.94	0.0073
2.95	0.0100
2.96	0.0104
2.97	0.0083
2.98	0.0047
2.99	0.0007
3	-0.0019
3.01	-0.0024
3.02	-0.0008
3.03	0.0018
3.04	0.0037
3.05	0.0042
3.06	0.0037
3.07	0.0011
3.08	-0.0030
3.09	-0.0071
3.1	-0.0094
3.11	-0.0100
3.12	-0.0095
3.13	-0.0076
3.14	-0.0037
3.15	-0.0004
3.16	0.0007
3.17	0.0003
3.18	0.0010
3.19	0.0042
3.2	0.0078
3.21	0.0093
3.22	0.0084
3.23	0.0060
3.24	0.0042
3.25	0.0033
3.26	0.0023
3.27	0.0004
3.28	-0.0010
3.29	-0.0002
3.3	0.0011
3.31	0.0005
3.32	-0.0018
3.33	-0.0033
3.34	-0.0022
3.35	0.0004
3.36	0.0012
3.37	-0.0002
3.38	-0.0015
3.39	-0.0007
3.4	0.0007
3.41	-0.0002
3.42	-0.0049
3.43	-0.0110
3.44	-0.0151
3.45	-0.0137
3.46	-0.0079
3.47	-0.0017
3.48	0.0033
3.49	0.0066
3.5	0.0081
3.51	0.0071
3.52	0.0051
3.53	0.0028
3.54	0.0007
3.55	0.0006
3.56	0.0022
3.57	0.0047
3.58	0.0051
3.59	0.0017
3.6	-0.0035
3.61	-0.0074
3.62	-0.0081
3.63	-0.0066
3.64	-0.0059
3.65	-0.0060
3.66	-0.0051
3.67	-0.0022
3.68	0.0026
3.69	0.0066
3.7	0.0077
3.71	0.0066
3.72	0.0048
3.73	0.0032
3.74	0.0016
3.75	0.0004
3.76	-0.0001
3.77	-0.0005
3.78	-0.0021
3.79	-0.0044
3.8	-0.0055
3.81	-0.0050
3.82	-0.0037
3.83	-0.0012
3.84	0.0009
3.85	0.0017
3.86	0.0020
3.87	0.0026
3.88	0.0036
3.89	0.0038
3.9	0.0043
3.91	0.0062
3.92	0.0091
3.93	0.0109
3.94	0.0105
3.95	0.0080
3.96	0.0038
3.97	-0.0002
3.98	-0.0026
3.99	-0.0037
4	-0.0056
4.01	-0.0079
4.02	-0.0083
4.03	-0.0067
4.04	-0.0048
4.05	-0.0029
4.06	0.0005
4.07	0.0055
4.08	0.0097
4.09	0.0108
