t(s)	a(g)
0	-0.00008
0.01	-0.00008
0.02	0.00000
0.03	0.00000
0.04	-0.00008
0.05	-0.00008
0.06	0.00000
0.07	0.00000
0.08	-0.00008
0.09	-0.00008
0.1	-0.00008
0.11	-0.00008
0.12	0.00000
0.13	0.00008
0.14	-0.00008
0.15	-0.00015
0.16	-0.00008
0.17	0.00000
0.18	-0.00008
0.19	-0.00008
0.2	0.00008
0.21	0.00008
0.22	-0.00015
0.23	-0.00008
0.24	0.00000
0.25	0.00000
0.26	0.00000
0.27	-0.00008
0.28	-0.00008
0.29	-0.00008
0.3	0.00000
0.31	-0.00008
0.32	-0.00008
0.33	-0.00008
0.34	-0.00008
0.35	0.00000
0.36	-0.00008
0.37	-0.00008
0.38	0.00000
0.39	0.00008
0.4	-0.00008
0.41	-0.00015
0.42	0.00000
0.43	0.00000
0.44	0.00000
0.45	-0.00008
0.46	0.00000
0.47	0.00000
0.48	-0.00015
0.49	-0.00008
0.5	-0.00008
0.51	0.00000
0.52	0.00000
0.53	0.00000
0.54	-0.00008
0.55	-0.00008
0.56	0.00000
0.57	0.00000
0.58	-0.00008
0.59	0.00000
0.6	0.00008
0.61	-0.00015
0.62	-0.00008
0.63	-0.00008
0.64	-0.00008
0.65	0.00008
0.66	0.00000
0.67	-0.00008
0.68	-0.00008
0.69	-0.00008
0.7	0.00008
0.71	0.00000
0.72	-0.00008
0.73	-0.00008
0.74	-0.00008
0.75	-0.00008
0.76	-0.00008
0.77	0.00000
0.78	0.00000
0.79	-0.00008
0.8	-0.00008
0.81	-0.00008
0.82	0.00000
0.83	0.00000
0.84	-0.00008
0.85	-0.00008
0.86	-0.00008
0.87	-0.00008
0.88	0.00000
0.89	0.00000
0.9	-0.00008
0.91	-0.00008
0.92	0.00000
0.93	0.00008
0.94	-0.00008
0.95	-0.00008
0.96	0.00000
0.97	-0.00008
0.98	-0.00008
0.99	-0.00008
1	-0.00008
1.01	-0.00008
1.02	0.00000
1.03	-0.00008
1.04	-0.00008
1.05	0.00000
1.06	-0.00008
1.07	-0.00008
1.08	0.00000
1.09	-0.00008
1.1	-0.00008
1.11	-0.00008
1.12	-0.00008
1.13	0.00000
1.14	-0.00008
1.15	-0.00008
1.16	-0.00008
1.17	0.00000
1.18	0.00000
1.19	-0.00008
1.2	-0.00015
1.21	-0.00008
1.22	0.00000
1.23	0.00000
1.24	-0.00008
1.25	-0.00008
1.26	0.00008
1.27	0.00000
1.28	-0.00015
1.29	-0.00015
1.3	0.00008
1.31	-0.00008
1.32	-0.00015
1.33	0.00000
1.34	-0.00015
1.35	-0.00008
1.36	0.00008
1.37	-0.00008
1.38	-0.00008
1.39	-0.00015
1.4	0.00000
1.41	0.00000
1.42	-0.00015
1.43	-0.00008
1.44	-0.00008
1.45	0.00000
1.46	-0.00008
1.47	-0.00008
1.48	-0.00008
1.49	-0.00008
1.5	-0.00008
1.51	-0.00008
1.52	-0.00008
1.53	-0.00008
1.54	-0.00008
1.55	-0.00015
1.56	-0.00008
1.57	0.00000
1.58	-0.00008
1.59	-0.00015
1.6	-0.00008
1.61	-0.00008
1.62	-0.00008
1.63	-0.00015
1.64	-0.00015
1.65	0.00008
1.66	0.00000
1.67	-0.00008
1.68	-0.00008
1.69	-0.00015
1.7	0.00000
1.71	-0.00008
1.72	-0.00008
1.73	-0.00008
1.74	-0.00008
1.75	-0.00008
1.76	-0.00008
1.77	-0.00008
1.78	-0.00008
1.79	-0.00008
1.8	0.00000
1.81	0.00000
1.82	-0.00015
1.83	-0.00015
1.84	0.00008
1.85	0.00000
1.86	-0.00030
1.87	-0.00008
1.88	0.00015
1.89	-0.00008
1.9	-0.00015
1.91	-0.00008
1.92	-0.00008
1.93	0.00000
1.94	0.00000
1.95	-0.00008
1.96	-0.00015
1.97	0.00000
1.98	0.00008
1.99	-0.00008
2	-0.00015
2.01	-0.00008
2.02	0.00008
2.03	0.00000
2.04	-0.00015
2.05	-0.00008
2.06	0.00008
2.07	0.00000
2.08	-0.00008
2.09	-0.00008
2.1	-0.00008
2.11	0.00000
2.12	0.00000
2.13	-0.00008
2.14	-0.00008
