t(s)	a(g)
0	-0.0001
0.005	0.00683
0.01	0.00683
0.015	0.00557
0.02	0.00557
0.025	0.00155
0.03	0.00154
0.035	0.00156
0.04	0.00155
0.045	0.00154
0.05	0.00157
0.055	0.00156
0.06	0.00158
0.065	0.00157
0.07	0.00156
0.075	0.00158
0.08	0.00156
0.085	0.00156
0.09	0.00157
0.095	0.00156
0.1	0.00156
0.105	0.00158
0.11	0.00157
0.115	0.00156
0.12	0.0016
0.125	0.00159
0.13	0.00158
0.135	0.00157
0.14	0.0016
0.145	0.00159
0.15	0.00158
0.155	0.00158
0.16	0.00159
0.165	0.00159
0.17	0.00159
0.175	0.00157
0.18	0.00159
0.185	0.00159
0.19	0.00158
0.195	0.00158
0.2	0.00156
0.205	0.00157
0.21	0.00156
0.215	0.00154
0.22	0.00159
0.225	0.00158
0.23	0.00159
0.235	0.00157
0.24	0.00157
0.245	0.00156
0.25	0.00157
0.255	0.00156
0.26	0.00159
0.265	0.00157
0.27	0.00159
0.275	0.00159
0.28	0.00162
0.285	0.00162
0.29	0.00164
0.295	0.00165
0.3	0.00165
0.305	0.00167
0.31	0.00171
0.315	0.00171
0.32	0.00172
0.325	0.00174
0.33	0.00174
0.335	0.00178
0.34	0.0018
0.345	0.00182
0.35	0.00185
0.355	0.00184
0.36	0.00186
0.365	0.00186
0.37	0.00189
0.375	0.00189
0.38	0.00189
0.385	0.00189
0.39	0.00192
0.395	0.00191
0.4	0.00194
0.405	0.00194
0.41	0.00197
0.415	0.00197
0.42	0.00199
0.425	0.00199
0.43	0.00201
0.435	0.00201
0.44	0.00205
0.445	0.00208
0.45	0.00208
0.455	0.00208
0.46	0.00209
0.465	0.00212
0.47	0.00212
0.475	0.00217
0.48	0.00216
0.485	0.00217
0.49	0.00219
0.495	0.00218
0.5	0.0022
0.505	0.00222
0.51	0.00219
0.515	0.00213
0.52	0.00207
0.525	0.00197
0.53	0.00191
0.535	0.00182
0.54	0.00176
0.545	0.00171
0.55	0.00158
0.555	0.00152
0.56	0.00141
0.565	0.00128
0.57	0.00121
0.575	0.00126
0.58	0.00131
0.585	0.00142
0.59	0.00151
0.595	0.00161
0.6	0.00173
0.605	0.00183
0.61	0.00191
0.615	0.002
0.62	0.00218
0.625	0.0026
0.63	0.003
0.635	0.00308
0.64	0.00298
0.645	0.00287
0.65	0.00272
0.655	0.00263
0.66	0.00251
0.665	0.00239
0.67	0.00229
0.675	0.00212
0.68	0.002
0.685	0.00189
0.69	0.00197
0.695	0.00209
0.7	0.00225
0.705	0.00242
0.71	0.00257
0.715	0.00276
0.72	0.00288
0.725	0.00307
0.73	0.00327
0.735	0.00354
0.74	0.00387
0.745	0.00425
0.75	0.00441
0.755	0.00441
0.76	0.00429
0.765	0.00418
0.77	0.00409
0.775	0.00399
0.78	0.00388
0.785	0.00374
0.79	0.00363
0.795	0.00351
0.8	0.00341
0.805	0.00326
0.81	0.00309
0.815	0.00301
0.82	0.00323
0.825	0.00367
0.83	0.00418
0.835	0.00471
0.84	0.00523
0.845	0.00582
0.85	0.00633
0.855	0.00659
0.86	0.00647
0.865	0.00617
0.87	0.00592
0.875	0.00563
0.88	0.00534
0.885	0.00505
0.89	0.00477
0.895	0.00444
0.9	0.0041
0.905	0.00383
0.91	0.00385
0.915	0.00432
0.92	0.00494
0.925	0.00557
0.93	0.0062
0.935	0.00688
0.94	0.0076
0.945	0.0081
0.95	0.00815
0.955	0.00781
0.96	0.00737
0.965	0.00698
0.97	0.0066
0.975	0.00619
0.98	0.00578
0.985	0.00534
0.99	0.00489
0.995	0.00446
1	0.004
1.005	0.00355
1.01	0.00301
1.015	0.00242
1.02	0.00178
1.025	0.0011
1.03	0.00046
1.035	-0.00021
1.04	-0.00084
1.045	-0.00155
1.05	-0.00234
1.055	-0.00308
1.06	-0.00328
1.065	-0.00224
1.07	0.00055
1.075	0.0043
1.08	0.00824
1.085	0.01157
1.09	0.01298
1.095	0.01195
1.1	0.01011
1.105	0.00895
1.11	0.00927
1.115	0.01033
1.12	0.01146
1.125	0.01221
1.13	0.01211
1.135	0.01082
1.14	0.00941
1.145	0.00907
1.15	0.00975
1.155	0.01042
1.16	0.01029
1.165	0.00953
1.17	0.00861
1.175	0.00767
1.18	0.0067
1.185	0.00574
1.19	0.00471
1.195	0.00362
1.2	0.00259
1.205	0.00188
1.21	0.002
1.215	0.002
1.22	0.00201
1.225	0.00201
1.23	0.00203
1.235	0.00208
1.24	0.00212
1.245	0.00219
1.25	0.00232
1.255	0.00254
1.26	0.00266
1.265	0.00231
1.27	0.00051
1.275	-0.00254
1.28	-0.00596
1.285	-0.00932
1.29	-0.01268
1.295	-0.01615
1.3	-0.01966
1.305	-0.02272
1.31	-0.02439
1.315	-0.02483
1.32	-0.02424
1.325	-0.02271
1.33	-0.02081
1.335	-0.01882
1.34	-0.01667
1.345	-0.01432
1.35	-0.0123
1.355	-0.01178
1.36	-0.01299
1.365	-0.01491
1.37	-0.01686
1.375	-0.01867
1.38	-0.02046
1.385	-0.02229
1.39	-0.02389
1.395	-0.02529
1.4	-0.02564
1.405	-0.02502
1.41	-0.02217
1.415	-0.01738
1.42	-0.01189
1.425	-0.00606
1.43	-0.00042
1.435	0.00352
1.44	0.00464
1.445	0.00446
1.45	0.00425
1.455	0.00418
1.46	0.00404
1.465	0.00427
1.47	0.00452
1.475	0.00473
1.48	0.00484
1.485	0.00531
1.49	0.00557
1.495	0.00643
1.5	0.00924
1.505	0.0152
1.51	0.02411
1.515	0.0344
1.52	0.04449
1.525	0.05087
1.53	0.05207
1.535	0.04992
1.54	0.04716
1.545	0.04452
1.55	0.04199
1.555	0.03914
1.56	0.0359
1.565	0.0325
1.57	0.03069
1.575	0.03197
1.58	0.03656
1.585	0.04221
1.59	0.04658
1.595	0.04778
1.6	0.04678
1.605	0.04529
1.61	0.04379
1.615	0.0423
1.62	0.04053
1.625	0.03853
1.63	0.03669
1.635	0.03579
1.64	0.03606
1.645	0.03652
1.65	0.03755
1.655	0.03839
1.66	0.03975
1.665	0.04307
1.67	0.04818
1.675	0.05527
1.68	0.06275
1.685	0.0665
1.69	0.06453
1.695	0.05864
1.7	0.05316
1.705	0.05119
1.71	0.05292
1.715	0.05553
1.72	0.05599
1.725	0.05125
1.73	0.04341
1.735	0.03497
1.74	0.02844
1.745	0.02641
1.75	0.02978
1.755	0.03623
1.76	0.04168
1.765	0.04305
1.77	0.03778
1.775	0.02758
1.78	0.01626
1.785	0.00863
1.79	0.00651
1.795	0.00784
1.8	0.01171
1.805	0.01553
1.81	0.01619
1.815	0.01015
1.82	-0.00111
1.825	-0.01168
1.83	-0.01611
1.835	-0.0124
1.84	-0.00404
1.845	0.00129
1.85	-0.00026
1.855	-0.00771
1.86	-0.01723
1.865	-0.02586
1.87	-0.03206
1.875	-0.03518
1.88	-0.0374
1.885	-0.0408
1.89	-0.04478
1.895	-0.04683
1.9	-0.04427
1.905	-0.0388
1.91	-0.03244
1.915	-0.0254
1.92	-0.0176
1.925	-0.01085
1.93	-0.00864
1.935	-0.01091
1.94	-0.01468
1.945	-0.01779
1.95	-0.01991
1.955	-0.01967
1.96	-0.01618
1.965	-0.01002
1.97	-0.00224
1.975	0.00473
1.98	0.00843
1.985	0.00652
1.99	0.00125
1.995	-0.00395
2	-0.00582
2.005	-0.00237
2.01	0.00675
2.015	0.01884
2.02	0.03233
2.025	0.04261
2.03	0.04483
2.035	0.03463
2.04	0.01783
2.045	0.00159
2.05	-0.00801
2.055	-0.00846
2.06	-0.00111
2.065	0.00994
2.07	0.02306
2.075	0.03782
2.08	0.0538
2.085	0.06999
2.09	0.08417
2.095	0.09452
2.1	0.10079
2.105	0.10296
2.11	0.10245
2.115	0.09967
2.12	0.09416
2.125	0.08753
2.13	0.08027
2.135	0.0723
2.14	0.06422
2.145	0.05801
2.15	0.05359
2.155	0.05117
2.16	0.05042
2.165	0.05136
2.17	0.0529
2.175	0.05436
2.18	0.05583
2.185	0.05709
2.19	0.05826
2.195	0.05927
2.2	0.06118
2.205	0.06514
2.21	0.07151
2.215	0.0775
2.22	0.07971
2.225	0.07605
2.23	0.06908
2.235	0.06272
2.24	0.06128
2.245	0.06366
2.25	0.06677
2.255	0.07018
2.26	0.07289
2.265	0.07278
2.27	0.06622
2.275	0.05526
2.28	0.04284
2.285	0.03073
2.29	0.02101
2.295	0.01619
2.3	0.01494
2.305	0.01416
2.31	0.01336
2.315	0.016
2.32	0.02503
2.325	0.04072
2.33	0.05662
2.335	0.06055
2.34	0.04676
2.345	0.02211
2.35	-0.00255
2.355	-0.01811
2.36	-0.01809
2.365	-0.00549
2.37	0.01109
2.375	0.02002
2.38	0.01719
2.385	0.00884
2.39	-0.00183
2.395	-0.01183
2.4	-0.01973
2.405	-0.02552
2.41	-0.02863
2.415	-0.02642
2.42	-0.02028
2.425	-0.01226
2.43	-0.00378
2.435	0.00208
2.44	0.00238
2.445	-0.00106
2.45	-0.00511
2.455	-0.00365
2.46	0.00574
2.465	0.01844
2.47	0.02692
2.475	0.02705
2.48	0.01828
2.485	0.00276
2.49	-0.01281
2.495	-0.02253
2.5	-0.02081
2.505	-0.00945
2.51	0.00442
2.515	0.01078
2.52	0.00512
2.525	-0.00835
2.53	-0.02143
2.535	-0.02994
2.54	-0.03601
2.545	-0.04197
2.55	-0.04847
2.555	-0.05481
2.56	-0.05907
2.565	-0.05713
2.57	-0.05056
2.575	-0.0472
2.58	-0.05042
2.585	-0.05935
2.59	-0.06703
2.595	-0.06815
2.6	-0.06051
2.605	-0.04799
2.61	-0.03433
2.615	-0.02151
2.62	-0.00943
2.625	0.00349
2.63	0.01591
2.635	0.02433
2.64	0.02873
2.645	0.03164
2.65	0.03852
2.655	0.05387
2.66	0.07832
2.665	0.10402
2.67	0.11723
2.675	0.10977
2.68	0.08574
2.685	0.0654
2.69	0.05871
2.695	0.06434
2.7	0.08161
2.705	0.10123
2.71	0.11554
2.715	0.12301
2.72	0.12435
2.725	0.12614
2.73	0.13284
2.735	0.14571
2.74	0.15895
2.745	0.16778
2.75	0.16963
2.755	0.16482
2.76	0.15395
2.765	0.13854
2.77	0.12125
2.775	0.10613
2.78	0.09154
2.785	0.07217
2.79	0.04735
2.795	0.01979
2.8	-0.00419
2.805	-0.01742
2.81	-0.017
2.815	-0.00484
2.82	0.01564
2.825	0.03714
2.83	0.05616
2.835	0.07312
2.84	0.08959
2.845	0.10729
2.85	0.12324
2.855	0.12817
2.86	0.11657
2.865	0.08969
2.87	0.0587
2.875	0.03719
2.88	0.03049
2.885	0.03878
2.89	0.05603
2.895	0.07575
2.9	0.09401
2.905	0.10703
2.91	0.11154
2.915	0.10707
2.92	0.09561
2.925	0.08114
2.93	0.06694
2.935	0.05511
2.94	0.04659
2.945	0.03829
2.95	0.02618
2.955	0.00864
2.96	-0.01312
2.965	-0.03439
2.97	-0.05081
2.975	-0.05894
2.98	-0.05897
2.985	-0.05551
2.99	-0.05421
2.995	-0.05672
3	-0.06297
3.005	-0.06741
3.01	-0.06348
3.015	-0.05167
3.02	-0.0387
3.025	-0.03082
3.03	-0.03531
3.035	-0.05124
3.04	-0.07198
3.045	-0.08917
3.05	-0.09725
3.055	-0.09113
3.06	-0.07234
3.065	-0.04432
3.07	-0.01727
3.075	0.00277
3.08	0.01677
3.085	0.02662
3.09	0.03804
3.095	0.05188
3.1	0.06796
3.105	0.08102
3.11	0.087
3.115	0.08382
3.12	0.07756
3.125	0.07637
3.13	0.08332
3.135	0.09234
3.14	0.09349
3.145	0.08484
3.15	0.07172
3.155	0.06567
3.16	0.07089
3.165	0.08279
3.17	0.09433
3.175	0.09591
3.18	0.08522
3.185	0.06546
3.19	0.04673
3.195	0.03368
3.2	0.0261
3.205	0.0172
3.21	0.00106
3.215	-0.02243
3.22	-0.04948
3.225	-0.07497
