t(s)	a(g)
0	0.00213
0.005	0.01138
0.01	0.01140
0.015	0.01142
0.02	0.01144
0.025	0.01146
0.03	0.00961
0.035	0.00963
0.04	0.00964
0.045	0.00965
0.05	0.00966
0.055	0.00968
0.06	0.00969
0.065	0.00970
0.07	0.00971
0.075	0.00973
0.08	0.00973
0.085	0.00974
0.09	0.00975
0.095	0.00978
0.1	0.00978
0.105	0.00978
0.11	0.00979
0.115	0.00979
0.12	0.00979
0.125	0.00979
0.13	0.00979
0.135	0.00980
0.14	0.00980
0.145	0.00979
0.15	0.00979
0.155	0.00978
0.16	0.00979
0.165	0.00979
0.17	0.00981
0.175	0.00980
0.18	0.00979
0.185	0.00979
0.19	0.00978
0.195	0.00977
0.2	0.00977
0.205	0.00976
0.21	0.00974
0.215	0.00973
0.22	0.00974
0.225	0.00973
0.23	0.00972
0.235	0.00971
0.24	0.00973
0.245	0.00974
0.25	0.00976
0.255	0.00978
0.26	0.00979
0.265	0.00980
0.27	0.00981
0.275	0.00982
0.28	0.00986
0.285	0.00989
0.29	0.00994
0.295	0.00998
0.3	0.01001
0.305	0.01005
0.31	0.01008
0.315	0.01010
0.32	0.01013
0.325	0.01017
0.33	0.01020
0.335	0.01027
0.34	0.01032
0.345	0.01037
0.35	0.01044
0.355	0.01051
0.36	0.01056
0.365	0.01060
0.37	0.01065
0.375	0.01067
0.38	0.01073
0.385	0.01075
0.39	0.01081
0.395	0.01092
0.4	0.01098
0.405	0.01102
0.41	0.01106
0.415	0.01112
0.42	0.01120
0.425	0.01127
0.43	0.01134
0.435	0.01141
0.44	0.01148
0.445	0.01155
0.45	0.01165
0.455	0.01171
0.46	0.01172
0.465	0.01177
0.47	0.01182
0.475	0.01187
0.48	0.01192
0.485	0.01197
0.49	0.01202
0.495	0.01207
0.5	0.01214
0.505	0.01223
0.51	0.01233
0.515	0.01239
0.52	0.01249
0.525	0.01260
0.53	0.01273
0.535	0.01289
0.54	0.01300
0.545	0.01305
0.55	0.01311
0.555	0.01318
0.56	0.01324
0.565	0.01328
0.57	0.01338
0.575	0.01352
0.58	0.01368
0.585	0.01375
0.59	0.01367
0.595	0.01355
0.6	0.01343
0.605	0.01341
0.61	0.01349
0.615	0.01369
0.62	0.01397
0.625	0.01422
0.63	0.01439
0.635	0.01448
0.64	0.01451
0.645	0.01448
0.65	0.01434
0.655	0.01409
0.66	0.01391
0.665	0.01388
0.67	0.01394
0.675	0.01403
0.68	0.01417
0.685	0.01436
0.69	0.01466
0.695	0.01501
0.7	0.01533
0.705	0.01559
0.71	0.01588
0.715	0.01621
0.72	0.01651
0.725	0.01653
0.73	0.01614
0.735	0.01558
0.74	0.01519
0.745	0.01509
0.75	0.01506
0.755	0.01508
0.76	0.01505
0.765	0.01505
0.77	0.01506
0.775	0.01506
0.78	0.01509
0.785	0.01503
0.79	0.01492
0.795	0.01484
0.8	0.01501
0.805	0.01541
0.81	0.01579
