t(s)	a(g)
0	0.00000
0.013	-0.00002
0.026	-0.00002
0.039	0.00004
0.052	0.00010
0.065	-0.00004
0.078	-0.00004
0.091	0.00004
0.104	0.00002
0.117	0.00002
0.13	0.00006
0.143	0.00010
0.156	-0.00004
0.169	-0.00015
0.182	-0.00010
0.195	-0.00004
0.208	-0.00012
0.221	-0.00012
0.234	-0.00012
0.247	-0.00012
0.26	-0.00012
0.273	0.00002
0.286	0.00012
0.299	0.00015
0.312	0.00015
0.325	0.00012
0.338	0.00004
0.351	-0.00012
0.364	-0.00015
0.377	-0.00012
0.39	-0.00012
0.403	-0.00010
0.416	0.00004
0.429	0.00012
0.442	0.00012
0.455	0.00010
0.468	-0.00002
0.481	-0.00004
0.494	-0.00015
0.507	-0.00023
0.52	-0.00012
0.533	-0.00002
0.546	-0.00002
0.559	-0.00010
0.572	-0.00006
0.585	0.00002
0.598	-0.00004
0.611	-0.00002
0.624	0.00002
0.637	-0.00010
0.65	-0.00010
0.663	-0.00002
0.676	-0.00002
0.689	-0.00004
0.702	-0.00002
0.715	0.00004
0.728	-0.00004
0.741	-0.00002
0.754	0.00004
0.767	0.00006
0.78	0.00004
0.793	-0.00004
0.806	-0.00004
0.819	-0.00006
0.832	-0.00010
0.845	-0.00006
0.858	0.00002
0.871	0.00010
0.884	-0.00002
0.897	-0.00004
0.91	-0.00002
0.923	-0.00012
0.936	-0.00004
0.949	0.00010
0.962	0.00002
0.975	-0.00010
0.988	-0.00012
1.001	-0.00019
1.014	-0.00021
1.027	-0.00012
1.04	0.00006
1.053	0.00010
1.066	0.00010
1.079	0.00004
1.092	0.00006
1.105	0.00023
1.118	0.00012
1.131	-0.00004
1.144	-0.00010
1.157	-0.00012
1.17	-0.00021
1.183	-0.00010
1.196	0.00012
1.209	0.00012
1.222	0.00015
1.235	0.00012
1.248	0.00004
1.261	0.00006
1.274	0.00002
1.287	-0.00004
1.3	-0.00012
1.313	-0.00010
1.326	-0.00006
1.339	-0.00010
1.352	-0.00002
1.365	0.00004
1.378	0.00012
1.391	0.00017
1.404	0.00012
1.417	0.00002
1.43	-0.00006
1.443	-0.00010
1.456	-0.00017
1.469	-0.00015
1.482	-0.00002
1.495	0.00004
1.508	0.00004
1.521	0.00002
1.534	0.00002
1.547	-0.00002
1.56	0.00004
1.573	0.00004
1.586	0.00004
1.599	0.00002
1.612	-0.00002
1.625	0.00004
1.638	0.00010
1.651	0.00004
1.664	-0.00004
1.677	-0.00002
1.69	0.00006
1.703	0.00002
1.716	0.00006
1.729	0.00006
1.742	-0.00004
1.755	0.00002
1.768	0.00010
1.781	0.00010
1.794	-0.00002
1.807	-0.00002
1.82	-0.00002
1.833	-0.00006
1.846	0.00002
1.859	0.00012
1.872	0.00012
1.885	0.00004
1.898	0.00006
1.911	0.00002
1.924	0.00006
1.937	0.00010
1.95	-0.00002
1.963	-0.00002
1.976	-0.00002
1.989	-0.00004
2.002	-0.00002
2.015	0.00002
2.028	-0.00002
2.041	-0.00002
2.054	0.00010
2.067	0.00012
2.08	0.00010
2.093	0.00006
2.106	0.00002
2.119	-0.00010
2.132	-0.00004
2.145	-0.00012
2.158	-0.00012
2.171	0.00004
2.184	0.00006
2.197	0.00006
2.21	0.00015
2.223	0.00015
2.236	0.00004
2.249	0.00010
2.262	0.00004
2.275	-0.00004
2.288	0.00004
2.301	0.00002
2.314	0.00002
2.327	-0.00002
2.34	0.00002
2.353	0.00012
2.366	-0.00002
2.379	-0.00002
2.392	0.00012
2.405	0.00002
2.418	-0.00002
2.431	0.00004
2.444	0.00012
2.457	0.00004
2.47	-0.00012
2.483	-0.00021
2.496	-0.00010
2.509	0.00004
2.522	0.00002
2.535	0.00017
2.548	0.00012
2.561	-0.00002
2.574	0.00002
2.587	0.00004
2.6	0.00002
2.613	-0.00002
2.626	0.00015
2.639	0.00017
2.652	0.00012
2.665	0.00012
2.678	0.00017
2.691	0.00010
2.704	0.00002
2.717	0.00010
2.73	0.00004
2.743	-0.00004
2.756	-0.00010
2.769	-0.00006
2.782	0.00002
2.795	0.00002
2.808	-0.00004
2.821	-0.00002
2.834	0.00004
2.847	-0.00004
2.86	-0.00010
2.873	0.00002
2.886	0.00002
2.899	0.00010
2.912	0.00015
2.925	0.00017
2.938	0.00004
2.951	-0.00002
2.964	0.00010
2.977	0.00002
2.99	-0.00004
3.003	0.00002
3.016	-0.00002
3.029	0.00004
3.042	0.00006
3.055	0.00010
3.068	0.00017
3.081	0.00004
3.094	-0.00006
3.107	-0.00004
3.12	-0.00004
3.133	-0.00010
3.146	-0.00002
3.159	0.00012
3.172	0.00012
3.185	-0.00002
3.198	0.00002
3.211	-0.00002
3.224	-0.00012
3.237	-0.00004
3.25	0.00004
3.263	0.00004
3.276	-0.00002
3.289	0.00002
3.302	0.00010
3.315	-0.00002
3.328	-0.00012
3.341	-0.00012
3.354	-0.00010
3.367	0.00002
3.38	-0.00004
3.393	0.00006
3.406	0.00012
3.419	-0.00002
3.432	-0.00006
3.445	-0.00002
3.458	-0.00006
3.471	-0.00004
3.484	0.00010
3.497	0.00017
3.51	0.00015
3.523	0.00010
3.536	0.00015
3.549	0.00004
3.562	-0.00004
3.575	-0.00002
3.588	-0.00012
3.601	-0.00015
3.614	-0.00010
3.627	-0.00004
3.64	-0.00002
3.653	-0.00002
3.666	0.00004
3.679	0.00012
3.692	0.00006
3.705	-0.00002
3.718	-0.00010
3.731	-0.00010
3.744	-0.00012
3.757	-0.00023
3.77	-0.00012
3.783	-0.00004
3.796	-0.00004
3.809	0.00004
3.822	0.00012
3.835	0.00012
3.848	0.00004
3.861	0.00002
3.874	0.00002
3.887	0.00002
3.9	-0.00004
3.913	-0.00004
3.926	-0.00004
3.939	-0.00015
3.952	-0.00004
3.965	0.00004
3.978	0.00010
3.991	0.00002
4.004	-0.00015
4.017	-0.00015
4.03	-0.00015
4.043	-0.00023
4.056	-0.00012
4.069	-0.00002
4.082	-0.00002
4.095	-0.00002
4.108	0.00002
4.121	0.00004
4.134	-0.00006
4.147	-0.00010
4.16	0.00002
4.173	-0.00002
4.186	-0.00002
4.199	0.00004
4.212	0.00006
4.225	0.00004
4.238	0.00002
4.251	-0.00006
4.264	-0.00012
4.277	-0.00012
4.29	-0.00012
4.303	0.00002
4.316	0.00010
4.329	0.00004
4.342	0.00002
4.355	-0.00004
4.368	-0.00012
4.381	-0.00012
4.394	-0.00012
4.407	-0.00012
4.42	-0.00012
4.433	-0.00010
4.446	-0.00006
4.459	-0.00012
4.472	0.00004
4.485	0.00010
4.498	0.00010
4.511	0.00010
4.524	0.00002
4.537	-0.00002
4.55	0.00002
4.563	-0.00004
4.576	-0.00004
4.589	0.00002
4.602	-0.00004
4.615	0.00002
4.628	-0.00002
4.641	-0.00006
4.654	0.00012
4.667	-0.00004
4.68	-0.00002
4.693	0.00010
4.706	-0.00010
4.719	-0.00002
4.732	-0.00010
4.745	-0.00006
4.758	0.00002
4.771	0.00002
4.784	0.00002
4.797	0.00002
4.81	0.00004
4.823	-0.00012
4.836	-0.00021
4.849	-0.00017
4.862	-0.00012
4.875	0.00002
4.888	0.00012
4.901	0.00015
4.914	0.00017
4.927	0.00012
4.94	0.00002
4.953	-0.00010
4.966	-0.00017
4.979	-0.00023
4.992	-0.00019
5.005	-0.00010
5.018	0.00010
5.031	0.00021
5.044	0.00027
5.057	0.00015
5.07	0.00002
5.083	-0.00002
5.096	-0.00010
5.109	-0.00015
5.122	-0.00015
5.135	-0.00004
5.148	-0.00002
5.161	-0.00004
5.174	0.00012
5.187	0.00012
5.2	-0.00006
5.213	-0.00002
5.226	0.00002
5.239	-0.00010
5.252	-0.00006
5.265	0.00004
5.278	-0.00004
5.291	-0.00004
5.304	0.00002
5.317	-0.00012
5.33	0.00002
5.343	0.00002
5.356	-0.00004
5.369	0.00017
5.382	0.00015
5.395	0.00012
5.408	0.00010
5.421	-0.00002
5.434	-0.00002
5.447	-0.00012
5.46	-0.00004
5.473	0.00010
5.486	-0.00002
5.499	-0.00004
5.512	0.00004
5.525	-0.00002
5.538	-0.00004
5.551	0.00002
5.564	-0.00004
5.577	0.00004
5.59	0.00012
5.603	0.00006
5.616	0.00002
5.629	-0.00004
5.642	-0.00004
5.655	-0.00002
5.668	-0.00004
5.681	-0.00006
5.694	0.00012
5.707	0.00021
5.72	0.00006
5.733	-0.00002
5.746	0.00002
5.759	-0.00010
5.772	-0.00010
5.785	-0.00002
5.798	0.00004
5.811	0.00012
5.824	0.00002
5.837	0.00012
5.85	0.00023
5.863	0.00006
5.876	0.00004
5.889	-0.00006
5.902	-0.00012
5.915	-0.00010
5.928	-0.00006
5.941	0.00004
5.954	0.00012
5.967	0.00006
5.98	0.00015
5.993	0.00017
6.006	0.00004
6.019	-0.00004
6.032	0.00002
6.045	0.00004
6.058	-0.00010
6.071	-0.00006
6.084	0.00004
6.097	0.00002
6.11	0.00002
6.123	0.00012
6.136	0.00004
6.149	0.00002
6.162	0.00004
6.175	-0.00006
6.188	-0.00002
6.201	-0.00002
6.214	-0.00002
6.227	0.00002
6.24	-0.00010
6.253	-0.00002
6.266	0.00006
6.279	0.00004
6.292	0.00002
6.305	-0.00002
6.318	0.00010
6.331	0.00012
6.344	-0.00002
6.357	-0.00004
6.37	0.00006
6.383	-0.00004
6.396	-0.00010
6.409	0.00010
6.422	-0.00010
6.435	-0.00010
6.448	0.00010
6.461	0.00002
6.474	0.00012
6.487	0.00012
6.5	0.00002
6.513	0.00006
6.526	-0.00002
6.539	-0.00010
6.552	-0.00002
6.565	0.00004
6.578	0.00012
6.591	0.00010
6.604	0.00012
6.617	0.00010
6.63	-0.00002
6.643	-0.00002
6.656	0.00002
6.669	-0.00002
6.682	0.00002
6.695	0.00002
6.708	-0.00004
6.721	-0.00010
6.734	-0.00004
6.747	0.00004
6.76	-0.00002
6.773	-0.00002
6.786	0.00010
6.799	0.00010
