t(s)	a(g)
0	0.00002
0.01	0.00002
0.02	0.00003
0.03	0.00003
0.04	0.00003
0.05	0.00092
0.06	0.00091
0.07	0.00091
0.08	0.00091
0.09	0.00091
0.1	0.00091
0.11	0.00091
0.12	0.00091
0.13	0.00091
0.14	0.00091
0.15	0.00091
0.16	0.00091
0.17	0.00093
0.18	0.00093
0.19	0.00093
0.2	0.00093
0.21	0.00094
0.22	0.00094
0.23	0.00094
0.24	0.00094
0.25	0.00093
0.26	0.00094
0.27	0.00094
0.28	0.00094
0.29	0.00094
0.3	0.00093
0.31	0.00093
0.32	0.00093
0.33	0.00092
0.34	0.00093
0.35	0.00095
0.36	0.00095
0.37	0.00095
0.38	0.00097
0.39	0.00095
0.4	0.00095
0.41	0.00095
0.42	0.00094
0.43	0.00094
0.44	0.00093
0.45	0.00093
0.46	0.00092
0.47	0.00092
0.48	0.00093
0.49	0.00093
0.5	0.00097
0.51	0.00098
0.52	0.00100
0.53	0.00106
0.54	0.00107
0.55	0.00109
0.56	0.00107
0.57	0.00105
0.58	0.00100
0.59	0.00093
0.6	0.00089
0.61	0.00084
0.62	0.00086
0.63	0.00092
0.64	0.00105
0.65	0.00120
0.66	0.00131
0.67	0.00141
0.68	0.00147
0.69	0.00153
0.7	0.00158
0.71	0.00164
0.72	0.00175
0.73	0.00182
0.74	0.00190
0.75	0.00190
0.76	0.00181
0.77	0.00168
0.78	0.00152
0.79	0.00139
0.8	0.00128
0.81	0.00121
0.82	0.00113
0.83	0.00102
0.84	0.00086
0.85	0.00060
0.86	0.00024
0.87	-0.00028
0.88	-0.00080
0.89	-0.00139
0.9	-0.00198
0.91	-0.00247
0.92	-0.00290
0.93	-0.00330
0.94	-0.00373
0.95	-0.00421
0.96	-0.00482
0.97	-0.00550
0.98	-0.00619
0.99	-0.00667
1	-0.00694
1.01	-0.00694
1.02	-0.00673
1.03	-0.00632
1.04	-0.00584
1.05	-0.00538
1.06	-0.00505
1.07	-0.00500
1.08	-0.00525
1.09	-0.00582
1.1	-0.00659
1.11	-0.00748
1.12	-0.00845
1.13	-0.00942
1.14	-0.01037
1.15	-0.01131
1.16	-0.01209
1.17	-0.01259
1.18	-0.01273
1.19	-0.01239
1.2	-0.01164
1.21	-0.01043
1.22	-0.00892
1.23	-0.00730
1.24	-0.00573
1.25	-0.00385
1.26	-0.00120
1.27	0.00272
1.28	0.00812
1.29	0.01460
1.3	0.02092
1.31	0.02581
1.32	0.02831
1.33	0.02811
1.34	0.02559
1.35	0.02153
1.36	0.01677
1.37	0.01206
1.38	0.00781
1.39	0.00413
1.4	0.00079
1.41	-0.00247
1.42	-0.00602
1.43	-0.01006
1.44	-0.01465
1.45	-0.01987
1.46	-0.02567
1.47	-0.03207
1.48	-0.03898
1.49	-0.04626
1.5	-0.05389
1.51	-0.06175
1.52	-0.06944
1.53	-0.07606
1.54	-0.08040
1.55	-0.08162
1.56	-0.07950
1.57	-0.07463
1.58	-0.06833
1.59	-0.06235
1.6	-0.05821
1.61	-0.05662
1.62	-0.05728
1.63	-0.05930
1.64	-0.06152
1.65	-0.06326
1.66	-0.06442
1.67	-0.06550
1.68	-0.06712
1.69	-0.06970
1.7	-0.07194
1.71	-0.06940
1.72	-0.05654
1.73	-0.02931
1.74	0.01249
1.75	0.06298
1.76	0.11260
1.77	0.15206
1.78	0.17599
1.79	0.18383
1.8	0.17918
1.81	0.16767
1.82	0.15489
1.83	0.14515
1.84	0.14064
1.85	0.14153
1.86	0.14632
1.87	0.15284
1.88	0.15905
1.89	0.16364
1.9	0.16582
1.91	0.16497
1.92	0.16071
1.93	0.15300
1.94	0.14235
1.95	0.12949
1.96	0.11529
1.97	0.10032
1.98	0.08495
1.99	0.06890
2	0.05173
2.01	0.03300
2.02	0.01258
2.03	-0.00940
2.04	-0.03254
2.05	-0.05637
2.06	-0.08053
2.07	-0.10474
2.08	-0.12893
2.09	-0.15310
2.1	-0.17738
2.11	-0.20182
2.12	-0.22653
2.13	-0.25146
2.14	-0.27660
2.15	-0.30157
2.16	-0.32567
2.17	-0.34801
2.18	-0.36800
2.19	-0.38554
2.2	-0.40100
2.21	-0.41369
2.22	-0.42149
2.23	-0.42182
2.24	-0.41173
2.25	-0.38753
2.26	-0.34104
2.27	-0.25843
2.28	-0.13460
2.29	0.01427
2.3	0.15850
2.31	0.26949
2.32	0.33054
2.33	0.34042
2.34	0.31072
2.35	0.25935
2.36	0.20385
2.37	0.15645
2.38	0.12201
2.39	0.09952
2.4	0.08432
2.41	0.07088
2.42	0.05481
2.43	0.03403
2.44	0.00862
2.45	-0.01981
2.46	-0.04908
2.47	-0.07740
2.48	-0.10389
2.49	-0.12858
2.5	-0.15019
2.51	-0.15628
2.52	-0.12358
2.53	-0.03885
2.54	0.08496
2.55	0.21624
2.56	0.32131
2.57	0.37773
2.58	0.37996
2.59	0.33744
2.6	0.26827
2.61	0.19175
2.62	0.12226
2.63	0.06715
2.64	0.03063
2.65	0.01895
2.66	0.03793
2.67	0.08699
2.68	0.15430
2.69	0.22161
2.7	0.27204
2.71	0.29608
2.72	0.29326
2.73	0.26993
2.74	0.23604
2.75	0.20093
2.76	0.17101
2.77	0.14855
2.78	0.13246
2.79	0.11971
2.8	0.10688
2.81	0.09157
2.82	0.07282
2.83	0.05114
2.84	0.02788
2.85	0.00454
2.86	-0.01772
2.87	-0.03792
2.88	-0.05399
2.89	-0.06274
2.9	-0.06149
2.91	-0.04948
2.92	-0.02804
2.93	0.00001
2.94	0.03069
2.95	0.05835
2.96	0.07759
2.97	0.08509
2.98	0.08064
2.99	0.06664
3	0.04701
3.01	0.02564
3.02	0.00531
3.03	-0.01285
3.04	-0.02916
3.05	-0.04455
3.06	-0.06021
3.07	-0.07696
3.08	-0.09500
3.09	-0.11313
3.1	-0.12639
3.11	-0.12735
3.12	-0.11108
3.13	-0.08017
3.14	-0.04382
3.15	-0.01287
3.16	0.00458
3.17	0.00556
3.18	-0.00791
3.19	-0.03069
3.2	-0.05683
3.21	-0.08150
3.22	-0.10220
3.23	-0.11857
3.24	-0.13203
3.25	-0.14459
3.26	-0.15802
3.27	-0.17239
3.28	-0.18133
3.29	-0.17411
3.3	-0.14683
3.31	-0.10636
3.32	-0.06543
3.33	-0.03633
3.34	-0.02629
3.35	-0.03611
3.36	-0.06137
3.37	-0.09493
3.38	-0.12987
3.39	-0.16129
3.4	-0.18730
3.41	-0.20728
3.42	-0.21176
3.43	-0.17981
3.44	-0.10185
3.45	0.00760
3.46	0.11927
3.47	0.20423
3.48	0.24472
3.49	0.23801
3.5	0.19405
3.51	0.12940
3.52	0.06058
3.53	0.00070
3.54	-0.03631
3.55	-0.03456
3.56	0.01055
3.57	0.08584
3.58	0.16745
3.59	0.23249
3.6	0.26670
3.61	0.26753
3.62	0.24215
3.63	0.20266
3.64	0.16119
3.65	0.12623
3.66	0.10127
3.67	0.08511
3.68	0.07396
3.69	0.06528
3.7	0.06106
3.71	0.06345
3.72	0.07133
3.73	0.08081
