t(s)	a(g)
0	0.00000
0.01	0.00000
0.02	0.00000
0.03	0.00000
0.04	0.00000
0.05	0.00000
0.06	0.00000
0.07	0.00000
0.08	-0.00215
0.09	-0.00216
0.1	-0.00216
0.11	-0.00216
0.12	-0.00215
0.13	-0.00215
0.14	-0.00215
0.15	-0.00217
0.16	-0.00216
0.17	-0.00218
0.18	-0.00217
0.19	-0.00216
0.2	-0.00217
0.21	-0.00216
0.22	-0.00217
0.23	-0.00216
0.24	-0.00217
0.25	-0.00218
0.26	-0.00220
0.27	-0.00218
0.28	-0.00217
0.29	-0.00217
0.3	-0.00216
0.31	-0.00215
0.32	-0.00214
0.33	-0.00214
0.34	-0.00215
0.35	-0.00216
0.36	-0.00221
0.37	-0.00221
0.38	-0.00223
0.39	-0.00228
0.4	-0.00232
0.41	-0.00235
0.42	-0.00229
0.43	-0.00220
0.44	-0.00211
0.45	-0.00200
0.46	-0.00192
0.47	-0.00188
0.48	-0.00187
0.49	-0.00187
0.5	-0.00184
0.51	-0.00175
0.52	-0.00169
0.53	-0.00169
0.54	-0.00179
0.55	-0.00200
0.56	-0.00235
0.57	-0.00281
0.58	-0.00330
0.59	-0.00376
0.6	-0.00385
0.61	-0.00344
0.62	-0.00247
0.63	-0.00113
0.64	0.00020
0.65	0.00114
0.66	0.00139
0.67	0.00096
0.68	-0.00013
0.69	-0.00163
0.7	-0.00325
0.71	-0.00466
0.72	-0.00541
0.73	-0.00552
0.74	-0.00498
0.75	-0.00403
0.76	-0.00283
0.77	-0.00176
0.78	-0.00097
0.79	-0.00058
0.8	-0.00056
0.81	-0.00080
0.82	-0.00138
0.83	-0.00232
0.84	-0.00388
0.85	-0.00562
0.86	-0.00674
0.87	-0.00631
0.88	-0.00383
0.89	0.00031
0.9	0.00493
0.91	0.00850
0.92	0.00979
0.93	0.00830
0.94	0.00424
0.95	-0.00176
0.96	-0.00862
0.97	-0.01535
0.98	-0.02117
0.99	-0.02536
1	-0.02581
1.01	-0.02078
1.02	-0.01123
1.03	-0.00056
1.04	0.00716
1.05	0.00877
1.06	0.00318
1.07	-0.00872
1.08	-0.02350
1.09	-0.03360
1.1	-0.03229
1.11	-0.01876
1.12	0.00198
1.13	0.02218
1.14	0.03491
1.15	0.03611
1.16	0.02560
1.17	0.00707
1.18	-0.01205
1.19	-0.02317
1.2	-0.01994
1.21	-0.00143
1.22	0.02642
1.23	0.05340
1.24	0.06972
1.25	0.06937
1.26	0.05138
1.27	0.01930
1.28	-0.01874
1.29	-0.04938
1.3	-0.06008
1.31	-0.04752
1.32	-0.01846
1.33	0.01483
1.34	0.04001
1.35	0.04916
1.36	0.04021
1.37	0.01658
1.38	-0.01417
1.39	-0.04175
1.4	-0.05659
1.41	-0.05315
1.42	-0.03247
1.43	-0.00254
1.44	0.02533
1.45	0.04142
1.46	0.04042
1.47	0.02239
1.48	-0.00804
1.49	-0.04225
1.5	-0.06864
1.51	-0.07685
1.52	-0.06174
1.53	-0.02688
1.54	0.01631
1.55	0.05387
1.56	0.07546
1.57	0.07804
1.58	0.06560
1.59	0.04583
1.6	0.02640
1.61	0.01144
1.62	0.00076
1.63	-0.00840
1.64	-0.01784
1.65	-0.02519
1.66	-0.02561
1.67	-0.01703
1.68	-0.00274
1.69	0.01057
1.7	0.01613
1.71	0.00973
1.72	-0.00937
1.73	-0.03691
1.74	-0.06296
1.75	-0.07526
1.76	-0.06516
1.77	-0.03361
1.78	0.00798
1.79	0.04386
1.8	0.06072
1.81	0.05188
1.82	0.01831
1.83	-0.03318
1.84	-0.09048
1.85	-0.13373
1.86	-0.14353
1.87	-0.11507
1.88	-0.05993
1.89	0.00196
1.9	0.05329
1.91	0.08701
1.92	0.10244
1.93	0.10002
1.94	0.08051
1.95	0.04554
1.96	-0.00236
1.97	-0.05611
1.98	-0.09667
1.99	-0.09902
2	-0.05302
2.01	0.02693
2.02	0.11107
2.03	0.16908
2.04	0.18118
2.05	0.14340
2.06	0.06906
2.07	-0.01546
2.08	-0.08183
2.09	-0.11051
2.1	-0.09812
2.11	-0.05731
2.12	-0.00887
2.13	0.02902
2.14	0.04837
2.15	0.05166
2.16	0.04813
2.17	0.04700
2.18	0.05152
2.19	0.05856
2.2	0.06181
2.21	0.05534
2.22	0.03641
2.23	0.00671
2.24	-0.02630
2.25	-0.04769
2.26	-0.04390
2.27	-0.01480
2.28	0.02690
2.29	0.06322
2.3	0.07890
2.31	0.06785
2.32	0.03608
2.33	-0.00312
2.34	-0.03770
2.35	-0.06125
2.36	-0.07322
2.37	-0.07554
2.38	-0.06806
2.39	-0.04853
2.4	-0.01715
2.41	0.01986
2.42	0.05359
2.43	0.07753
2.44	0.08964
2.45	0.09174
2.46	0.08636
2.47	0.07346
2.48	0.05290
2.49	0.03425
2.5	0.03607
2.51	0.06702
2.52	0.11810
2.53	0.16924
2.54	0.19987
2.55	0.19693
2.56	0.15793
2.57	0.08983
2.58	0.00641
2.59	-0.06730
2.6	-0.09859
2.61	-0.07116
2.62	0.00224
2.63	0.08938
2.64	0.15526
2.65	0.17557
2.66	0.14297
2.67	0.06569
2.68	-0.03821
2.69	-0.14344
2.7	-0.21710
2.71	-0.23608
2.72	-0.20077
2.73	-0.13118
2.74	-0.05298
2.75	0.01592
2.76	0.06632
2.77	0.09199
2.78	0.08972
2.79	0.06028
2.8	0.00839
2.81	-0.05854
2.82	-0.13274
2.83	-0.20443
2.84	-0.25320
2.85	-0.25128
2.86	-0.17977
2.87	-0.04975
2.88	0.09770
2.89	0.21218
2.9	0.25507
2.91	0.21210
2.92	0.10000
2.93	-0.03692
2.94	-0.14683
2.95	-0.19391
2.96	-0.17188
2.97	-0.09950
2.98	-0.00694
