t(s)	a(g)
0.00000	0.00000
0.01000	0.00000
0.02000	0.00000
0.03000	0.00130
0.04000	0.00133
0.05000	0.00139
0.06000	0.00143
0.07000	0.00149
0.08000	0.00151
0.09000	0.00156
0.10000	0.00160
0.11000	0.00163
0.12000	0.00166
0.13000	0.00172
0.14000	0.00176
0.15000	0.00180
0.16000	0.00185
0.17000	0.00188
0.18000	0.00194
0.19000	0.00197
0.20000	0.00203
0.21000	0.00208
0.22000	0.00210
0.23000	0.00216
0.24000	0.00218
0.25000	0.00224
0.26000	0.00227
0.27000	0.00229
0.28000	0.00232
0.29000	0.00236
0.30000	0.00239
0.31000	0.00244
0.32000	0.00251
0.33000	0.00256
0.34000	0.00265
0.35000	0.00274
0.36000	0.00283
0.37000	0.00295
0.38000	0.00305
0.39000	0.00310
0.40000	0.00313
0.41000	0.00319
0.42000	0.00328
0.43000	0.00343
0.44000	0.00366
0.45000	0.00388
0.46000	0.00412
0.47000	0.00436
0.48000	0.00456
0.49000	0.00470
0.50000	0.00478
0.51000	0.00478
0.52000	0.00478
0.53000	0.00478
0.54000	0.00478
0.55000	0.00474
0.56000	0.00469
0.57000	0.00460
0.58000	0.00448
0.59000	0.00436
0.60000	0.00433
0.61000	0.00449
0.62000	0.00491
0.63000	0.00546
0.64000	0.00606
0.65000	0.00667
0.66000	0.00732
0.67000	0.00802
0.68000	0.00874
0.69000	0.00917
0.70000	0.00905
0.71000	0.00836
0.72000	0.00736
0.73000	0.00623
0.74000	0.00500
0.75000	0.00341
0.76000	0.00137
0.77000	-0.00108
0.78000	-0.00380
0.79000	-0.00667
0.80000	-0.00904
0.81000	-0.01002
0.82000	-0.00959
0.83000	-0.00827
0.84000	-0.00673
0.85000	-0.00536
0.86000	-0.00412
0.87000	-0.00280
0.88000	-0.00126
0.89000	-0.00020
0.90000	-0.00102
0.91000	-0.00416
0.92000	-0.00902
0.93000	-0.01451
0.94000	-0.01997
0.95000	-0.02408
0.96000	-0.02482
