t(s)	a(g)
0	-0.00008
0.01	-0.00007
0.02	0.00279
0.03	0.00282
0.04	0.00288
0.05	0.00291
0.06	0.00294
0.07	0.00300
0.08	0.00305
0.09	0.00308
0.1	0.00313
0.11	0.00318
0.12	0.00323
0.13	0.00327
0.14	0.00330
0.15	0.00335
0.16	0.00341
0.17	0.00345
0.18	0.00348
0.19	0.00353
0.2	0.00358
0.21	0.00362
0.22	0.00368
0.23	0.00374
0.24	0.00379
0.25	0.00386
0.26	0.00393
0.27	0.00404
0.28	0.00412
0.29	0.00425
0.3	0.00429
0.31	0.00425
0.32	0.00412
0.33	0.00399
0.34	0.00388
0.35	0.00386
0.36	0.00396
0.37	0.00407
0.38	0.00412
0.39	0.00411
0.4	0.00402
0.41	0.00392
0.42	0.00385
0.43	0.00401
0.44	0.00451
0.45	0.00521
0.46	0.00587
0.47	0.00616
0.48	0.00602
0.49	0.00578
0.5	0.00567
0.51	0.00561
0.52	0.00539
0.53	0.00508
0.54	0.00470
0.55	0.00448
0.56	0.00480
0.57	0.00542
0.58	0.00604
0.59	0.00651
0.6	0.00676
0.61	0.00692
0.62	0.00709
0.63	0.00736
0.64	0.00764
0.65	0.00783
0.66	0.00755
0.67	0.00667
0.68	0.00558
0.69	0.00451
0.7	0.00341
0.71	0.00212
0.72	0.00079
0.73	0.00081
0.74	0.00282
0.75	0.00554
0.76	0.00800
0.77	0.01004
0.78	0.01174
0.79	0.01320
0.8	0.01321
0.81	0.01178
0.82	0.01004
0.83	0.00856
0.84	0.00710
0.85	0.00531
0.86	0.00314
0.87	-0.00056
0.88	-0.00679
0.89	-0.01253
0.9	-0.01151
0.91	-0.00505
0.92	0.00151
0.93	0.00641
0.94	0.01115
0.95	0.01720
0.96	0.02392
0.97	0.02406
0.98	0.01343
0.99	-0.00133
1	-0.01437
1.01	-0.02047
1.02	-0.01525
1.03	-0.00585
1.04	0.00137
1.05	0.00676
1.06	0.01012
1.07	0.00852
1.08	0.00437
1.09	0.00070
1.1	-0.00206
1.11	-0.00288
1.12	-0.00027
1.13	0.00376
1.14	0.00728
1.15	0.01036
1.16	0.01348
1.17	0.01461
1.18	0.01314
1.19	0.01100
1.2	0.00942
1.21	0.00817
1.22	0.00663
1.23	0.00466
1.24	0.00258
1.25	0.00180
1.26	0.00377
1.27	0.00694
1.28	0.00959
1.29	0.00968
1.3	0.00624
1.31	0.00172
1.32	-0.00202
1.33	-0.00412
1.34	-0.00324
1.35	-0.00080
1.36	0.00132
1.37	0.00244
1.38	0.00079
1.39	-0.00321
1.4	-0.00732
1.41	-0.00976
1.42	-0.00736
1.43	-0.00140
1.44	0.00448
1.45	0.00864
1.46	0.00705
1.47	-0.00097
1.48	-0.01040
1.49	-0.01830
1.5	-0.02551
1.51	-0.03364
1.52	-0.04284
1.53	-0.05239
1.54	-0.06166
1.55	-0.06275
1.56	-0.04623
1.57	-0.02175
1.58	0.00008
1.59	0.01869
1.6	0.03450
1.61	0.03485
1.62	0.02126
1.63	0.00658
1.64	0.00002
1.65	0.00181
1.66	0.00431
1.67	0.00316
1.68	-0.00231
1.69	-0.00937
1.7	-0.01532
1.71	-0.01911
1.72	-0.01741
1.73	-0.01162
1.74	-0.00590
1.75	-0.00150
1.76	0.00277
1.77	0.00802
1.78	0.01633
1.79	0.02895
1.8	0.04308
1.81	0.05646
1.82	0.06777
1.83	0.06672
1.84	0.05237
1.85	0.03562
1.86	0.02239
1.87	0.01061
1.88	-0.00290
1.89	-0.01841
1.9	-0.03263
1.91	-0.04206
1.92	-0.04891
1.93	-0.05646
1.94	-0.06530
1.95	-0.07001
1.96	-0.06157
1.97	-0.04491
1.98	-0.02909
1.99	-0.01631
2	-0.00365
2.01	0.01090
2.02	0.02672
2.03	0.04256
2.04	0.05791
2.05	0.07141
2.06	0.07866
2.07	0.08139
2.08	0.07916
2.09	0.06319
2.1	0.03788
2.11	0.01267
2.12	-0.00981
2.13	-0.02992
2.14	-0.03295
2.15	-0.01675
2.16	0.00329
2.17	0.01835
2.18	0.02564
2.19	0.01543
2.2	-0.00554
2.21	-0.01490
2.22	-0.00436
2.23	0.01149
