t(s)	a(g)
0.00000	0.00000
0.01000	0.00002
0.02000	0.00002
0.03000	0.00002
0.04000	0.00002
0.05000	0.00002
0.06000	0.00002
0.07000	0.00002
0.08000	0.00002
0.09000	0.00002
0.10000	0.00002
0.11000	0.00002
0.12000	0.00002
0.13000	0.00002
0.14000	0.00002
0.15000	0.00002
0.16000	0.00002
0.17000	0.00002
0.18000	0.00002
0.19000	0.00002
0.20000	-0.00000
0.21000	0.00002
0.22000	0.00002
0.23000	0.00003
0.24000	0.00003
0.25000	0.00003
0.26000	0.00005
0.27000	0.00003
0.28000	0.00003
0.29000	0.00003
0.30000	0.00003
0.31000	0.00003
0.32000	0.00003
0.33000	0.00002
0.34000	-0.00000
0.35000	0.00000
0.36000	0.00000
0.37000	-0.00002
0.38000	-0.00003
0.39000	-0.00003
0.40000	-0.00005
0.41000	-0.00003
0.42000	-0.00003
0.43000	0.00000
0.44000	0.00002
0.45000	0.00003
0.46000	0.00002
0.47000	-0.00002
0.48000	-0.00005
0.49000	-0.00003
0.50000	0.00000
0.51000	0.00005
0.52000	0.00005
0.53000	0.00003
0.54000	0.00005
0.55000	0.00005
0.56000	0.00005
0.57000	0.00003
0.58000	0.00002
0.59000	0.00003
0.60000	-0.00002
0.61000	-0.00003
0.62000	0.00003
0.63000	0.00008
0.64000	0.00002
0.65000	-0.00008
0.66000	-0.00011
0.67000	-0.00008
0.68000	-0.00009
0.69000	-0.00012
0.70000	-0.00017
0.71000	-0.00017
0.72000	-0.00012
0.73000	-0.00008
0.74000	-0.00008
0.75000	-0.00011
0.76000	-0.00012
0.77000	-0.00014
0.78000	-0.00008
0.79000	0.00003
0.80000	0.00008
0.81000	0.00008
0.82000	0.00015
0.83000	0.00031
0.84000	0.00040
0.85000	0.00034
0.86000	0.00018
0.87000	0.00008
0.88000	0.00008
0.89000	0.00015
0.90000	0.00018
0.91000	0.00015
0.92000	0.00006
0.93000	-0.00002
0.94000	0.00000
0.95000	0.00003
0.96000	0.00002
0.97000	-0.00009
0.98000	-0.00015
0.99000	-0.00008
1.00000	-0.00003
1.01000	-0.00009
1.02000	-0.00020
1.03000	-0.00017
1.04000	-0.00003
1.05000	0.00017
1.06000	0.00029
1.07000	0.00032
1.08000	0.00021
1.09000	0.00001
1.10000	0.00001
1.11000	0.00033
1.12000	0.00062
1.13000	0.00056
1.14000	0.00036
1.15000	0.00042
1.16000	0.00065
1.17000	0.00078
1.18000	0.00066
1.19000	0.00055
1.20000	0.00043
1.21000	0.00024
1.22000	0.00007
1.23000	-0.00010
1.24000	-0.00008
1.25000	-0.00007
1.26000	-0.00024
1.27000	-0.00041
1.28000	-0.00030
1.29000	-0.00020
1.30000	-0.00039
1.31000	-0.00057
1.32000	-0.00048
1.33000	-0.00023
1.34000	-0.00023
1.35000	-0.00026
1.36000	-0.00009
1.37000	0.00021
1.38000	0.00036
1.39000	0.00031
1.40000	0.00024
1.41000	0.00026
1.42000	0.00015
1.43000	-0.00014
1.44000	-0.00016
1.45000	0.00009
1.46000	0.00009
1.47000	-0.00014
1.48000	-0.00025
1.49000	-0.00007
1.50000	0.00008
1.51000	0.00015
1.52000	0.00020
1.53000	0.00006
1.54000	-0.00022
1.55000	-0.00061
1.56000	-0.00098
1.57000	-0.00090
1.58000	-0.00064
1.59000	-0.00060
1.60000	-0.00059
1.61000	-0.00023
1.62000	0.00029
1.63000	0.00048
1.64000	0.00045
1.65000	0.00025
1.66000	-0.00009
1.67000	-0.00033
1.68000	-0.00025
1.69000	-0.00011
1.70000	0.00000
1.71000	0.00015
1.72000	0.00028
1.73000	0.00053
1.74000	0.00073
1.75000	0.00058
1.76000	0.00021
1.77000	0.00007
1.78000	0.00013
1.79000	-0.00006
1.80000	-0.00029
1.81000	-0.00052
1.82000	-0.00078
1.83000	-0.00103
1.84000	-0.00128
1.85000	-0.00156
1.86000	-0.00136
1.87000	-0.00074
1.88000	-0.00036
1.89000	0.00012
1.90000	0.00107
1.91000	0.00194
1.92000	0.00205
1.93000	0.00192
1.94000	0.00221
1.95000	0.00278
1.96000	0.00268
1.97000	0.00182
1.98000	0.00102
1.99000	0.00084
2.00000	0.00114
2.01000	0.00077
2.02000	0.00010
2.03000	-0.00010
2.04000	-0.00068
2.05000	-0.00165
2.06000	-0.00232
2.07000	-0.00208
2.08000	-0.00182
2.09000	-0.00201
2.10000	-0.00183
2.11000	-0.00098
2.12000	-0.00016
