t(s)	a(g)
0	0.00000
0.01	0.00000
0.02	0.00074
0.03	0.00074
0.04	0.00073
0.05	0.00073
0.06	0.00073
0.07	0.00073
0.08	0.00073
0.09	0.00072
0.1	0.00073
0.11	0.00073
0.12	0.00073
0.13	0.00072
0.14	0.00072
0.15	0.00072
0.16	0.00072
0.17	0.00071
0.18	0.00071
0.19	0.00071
0.2	0.00071
0.21	0.00071
0.22	0.00070
0.23	0.00071
0.24	0.00071
0.25	0.00071
0.26	0.00070
0.27	0.00070
0.28	0.00070
0.29	0.00070
0.3	0.00070
0.31	0.00069
0.32	0.00070
0.33	0.00070
0.34	0.00070
0.35	0.00069
0.36	0.00069
0.37	0.00068
0.38	0.00068
0.39	0.00069
0.4	0.00068
0.41	0.00068
0.42	0.00069
0.43	0.00070
0.44	0.00070
0.45	0.00069
0.46	0.00068
0.47	0.00067
0.48	0.00066
0.49	0.00065
0.5	0.00064
0.51	0.00064
0.52	0.00066
0.53	0.00067
0.54	0.00066
0.55	0.00066
0.56	0.00066
0.57	0.00068
0.58	0.00072
0.59	0.00073
0.6	0.00072
0.61	0.00069
0.62	0.00067
0.63	0.00065
0.64	0.00057
0.65	0.00053
0.66	0.00054
0.67	0.00058
0.68	0.00061
0.69	0.00065
0.7	0.00068
0.71	0.00071
0.72	0.00065
0.73	0.00064
0.74	0.00076
0.75	0.00078
0.76	0.00077
0.77	0.00070
0.78	0.00062
0.79	0.00065
0.8	0.00058
0.81	0.00043
0.82	0.00050
0.83	0.00068
0.84	0.00069
0.85	0.00065
0.86	0.00077
0.87	0.00072
0.88	0.00050
0.89	0.00061
0.9	0.00080
0.91	0.00074
0.92	0.00078
0.93	0.00077
0.94	0.00059
0.95	0.00063
0.96	0.00072
0.97	0.00056
0.98	0.00063
0.99	0.00087
1	0.00110
1.01	0.00088
1.02	0.00075
1.03	0.00057
1.04	0.00048
1.05	0.00034
1.06	0.00069
1.07	0.00031
1.08	0.00023
1.09	0.00034
1.1	0.00056
1.11	0.00062
1.12	0.00101
1.13	0.00128
1.14	0.00040
1.15	0.00013
1.16	0.00029
1.17	0.00009
1.18	-0.00035
1.19	-0.00023
1.2	-0.00030
1.21	-0.00022
1.22	0.00017
1.23	0.00001
1.24	0.00035
1.25	0.00065
1.26	0.00028
1.27	-0.00009
1.28	0.00002
1.29	-0.00001
1.3	0.00132
1.31	0.00235
1.32	0.00288
1.33	0.00268
1.34	0.00174
1.35	0.00073
1.36	0.00005
1.37	-0.00049
1.38	-0.00107
1.39	-0.00022
1.4	-0.00094
1.41	-0.00166
1.42	-0.00203
1.43	-0.00161
1.44	-0.00049
1.45	-0.00016
1.46	0.00112
1.47	0.00163
1.48	0.00097
1.49	0.00019
1.5	0.00042
1.51	0.00030
1.52	0.00009
1.53	-0.00084
1.54	-0.00089
1.55	-0.00105
1.56	0.00052
1.57	0.00007
1.58	-0.00083
1.59	-0.00035
1.6	0.00074
1.61	0.00140
1.62	0.00122
1.63	0.00131
1.64	-0.00089
1.65	-0.00397
1.66	-0.00529
1.67	-0.00483
1.68	-0.00344
1.69	0.00088
1.7	0.00295
1.71	0.00180
1.72	0.00120
1.73	0.00145
1.74	-0.00029
1.75	0.00015
1.76	0.00007
1.77	-0.00007
1.78	0.00006
1.79	0.00117
1.8	0.00002
1.81	-0.00024
1.82	0.00017
1.83	-0.00145
1.84	-0.00362
1.85	-0.00132
1.86	0.00049
1.87	-0.00040
1.88	0.00007
1.89	0.00006
1.9	-0.00002
1.91	0.00002
1.92	0.00086
1.93	0.00241
1.94	0.00321
1.95	0.00319
1.96	0.00318
1.97	0.00446
1.98	0.00327
1.99	-0.00109
2	-0.00449
2.01	-0.00402
2.02	-0.00040
2.03	-0.00319
2.04	-0.00533
2.05	0.00483
2.06	0.00108
2.07	-0.00128
2.08	-0.00079
2.09	0.00006
2.1	0.00328
2.11	0.00476
2.12	0.00684
2.13	0.00312
2.14	-0.00526
2.15	-0.00471
2.16	0.00007
2.17	0.00701
2.18	0.01006
2.19	0.00636
2.2	0.00095
2.21	-0.00117
2.22	0.00248
2.23	0.00206
2.24	-0.00049
2.25	-0.00358
2.26	-0.00217
2.27	0.00095
2.28	0.00497
2.29	0.00747
2.3	0.00213
2.31	-0.00554
2.32	-0.00938
2.33	-0.01224
2.34	-0.01205
2.35	-0.00830
2.36	-0.00629
2.37	-0.00357
2.38	0.00539
2.39	0.00520
2.4	0.00495
2.41	0.00627
2.42	0.00915
2.43	0.00420
2.44	0.00193
2.45	0.00089
2.46	-0.00940
2.47	-0.01395
2.48	-0.00726
2.49	-0.00728
2.5	-0.00730
2.51	-0.00008
2.52	0.00472
2.53	0.00143
2.54	-0.00030
2.55	0.00481
2.56	0.01169
2.57	0.01779
2.58	0.01924
2.59	0.01147
2.6	0.00487
2.61	-0.00198
2.62	-0.00472
2.63	-0.00698
2.64	-0.01239
2.65	-0.01135
2.66	-0.00895
2.67	-0.00504
2.68	-0.00062
2.69	0.00611
2.7	0.00960
2.71	0.00849
2.72	0.00587
2.73	0.01130
2.74	0.00754
2.75	0.00185
2.76	-0.00362
2.77	-0.01507
2.78	-0.01723
2.79	-0.01073
2.8	-0.00640
2.81	-0.00584
2.82	-0.00079
2.83	0.00777
2.84	0.00550
2.85	-0.00431
2.86	-0.01119
2.87	-0.01569
2.88	-0.01587
2.89	-0.01153
2.9	-0.00553
2.91	-0.00091
2.92	-0.00118
2.93	-0.00341
2.94	-0.00286
2.95	-0.00050
2.96	-0.01076
2.97	-0.01715
2.98	-0.00900
2.99	-0.00017
3	-0.00217
3.01	-0.00516
3.02	-0.00103
3.03	0.00555
3.04	0.01013
3.05	0.01477
3.06	0.01495
3.07	0.00604
3.08	0.00300
