t(s)	a(g)
0	0.00000
0.01	0.00000
0.02	0.00000
0.03	0.00000
0.04	-0.00009
0.05	-0.00009
0.06	-0.00007
0.07	-0.00007
0.08	-0.00007
0.09	-0.00007
0.1	-0.00007
0.11	-0.00007
0.12	-0.00007
0.13	-0.00007
0.14	-0.00007
0.15	-0.00007
0.16	-0.00007
0.17	-0.00007
0.18	-0.00007
0.19	-0.00006
0.2	-0.00006
0.21	-0.00006
0.22	-0.00006
0.23	-0.00006
0.24	-0.00006
0.25	-0.00004
0.26	-0.00004
0.27	-0.00004
0.28	-0.00004
0.29	-0.00004
0.3	-0.00003
0.31	-0.00001
0.32	-0.00003
0.33	-0.00001
0.34	-0.00001
0.35	0.00001
0.36	0.00001
0.37	0.00000
0.38	-0.00001
0.39	-0.00003
0.4	-0.00001
0.41	-0.00003
0.42	-0.00001
0.43	0.00000
0.44	0.00003
0.45	0.00005
0.46	0.00001
0.47	0.00003
0.48	-0.00003
0.49	-0.00010
0.5	-0.00005
0.51	-0.00003
0.52	-0.00001
0.53	0.00005
0.54	0.00018
0.55	0.00012
0.56	0.00003
0.57	-0.00006
0.58	-0.00021
0.59	-0.00026
0.6	-0.00008
0.61	0.00008
0.62	0.00023
0.63	0.00032
0.64	0.00031
0.65	0.00020
0.66	0.00017
0.67	0.00009
0.68	-0.00009
0.69	-0.00015
0.7	-0.00016
0.71	-0.00016
0.72	0.00035
0.73	0.00050
0.74	0.00040
0.75	0.00007
0.76	-0.00009
0.77	-0.00026
0.78	-0.00022
0.79	-0.00028
0.8	-0.00007
0.81	-0.00004
0.82	-0.00036
0.83	-0.00043
0.84	0.00037
0.85	0.00110
0.86	0.00110
0.87	0.00105
0.88	0.00063
0.89	-0.00113
0.9	-0.00241
0.91	-0.00216
0.92	-0.00122
0.93	-0.00015
0.94	0.00100
0.95	0.00183
0.96	0.00221
0.97	0.00177
0.98	0.00107
0.99	0.00015
1	-0.00096
1.01	-0.00157
1.02	-0.00148
1.03	-0.00158
1.04	-0.00025
1.05	-0.00020
1.06	-0.00049
1.07	0.00138
1.08	0.00055
1.09	-0.00034
1.1	-0.00036
1.11	0.00020
1.12	-0.00021
1.13	0.00042
1.14	0.00047
1.15	-0.00099
1.16	0.00101
1.17	0.00257
1.18	0.00280
1.19	0.00340
1.2	0.00238
1.21	0.00106
1.22	-0.00122
1.23	-0.00165
1.24	-0.00273
1.25	-0.00207
1.26	-0.00144
1.27	-0.00227
1.28	-0.00178
1.29	-0.00047
1.3	0.00103
1.31	0.00243
1.32	0.00298
1.33	0.00144
1.34	-0.00046
1.35	-0.00426
1.36	-0.00379
1.37	-0.00092
1.38	-0.00200
1.39	-0.00089
1.4	0.00009
1.41	0.00181
1.42	0.00432
1.43	0.00637
1.44	0.00423
1.45	-0.00025
1.46	-0.00572
1.47	-0.00521
1.48	-0.00328
1.49	0.00211
1.5	0.00431
1.51	-0.00177
1.52	-0.00359
1.53	0.00020
1.54	0.00528
1.55	0.00505
1.56	0.00107
1.57	0.00109
1.58	-0.00116
1.59	-0.00241
1.6	-0.00283
1.61	-0.00486
1.62	-0.00656
1.63	-0.00626
1.64	-0.00645
1.65	-0.00260
1.66	-0.00026
1.67	0.00027
1.68	0.00618
1.69	0.00947
1.7	0.00525
1.71	-0.00014
1.72	-0.00490
1.73	-0.01120
1.74	-0.00531
1.75	0.00030
1.76	-0.00198
1.77	0.00409
1.78	0.00307
1.79	-0.01135
1.8	-0.01681
1.81	-0.00651
1.82	0.01032
1.83	0.01191
1.84	0.00912
1.85	0.00373
1.86	-0.01093
1.87	-0.01073
1.88	-0.00480
1.89	-0.00884
1.9	0.00233
1.91	0.01323
1.92	0.01379
1.93	0.00821
1.94	0.00297
1.95	0.00184
1.96	-0.00548
1.97	-0.01025
1.98	-0.00701
1.99	0.00399
2	0.00848
2.01	0.00747
2.02	0.00556
2.03	0.00171
2.04	-0.01306
2.05	-0.01860
2.06	0.01007
2.07	0.01000
2.08	0.01344
2.09	0.00904
2.1	0.00239
2.11	-0.01246
2.12	-0.02680
2.13	-0.01855
2.14	-0.00541
2.15	0.00787
2.16	0.02284
2.17	0.02110
2.18	0.00873
2.19	0.01565
2.2	0.00158
2.21	-0.02694
2.22	-0.04403
2.23	-0.03819
2.24	-0.02964
2.25	-0.01432
2.26	0.01052
2.27	0.01923
2.28	0.01554
2.29	0.02334
2.3	0.03008
2.31	0.01633
2.32	0.01411
2.33	0.02097
2.34	0.02145
2.35	0.00464
2.36	-0.01192
2.37	-0.01218
2.38	-0.02525
2.39	-0.02219
2.4	-0.02272
2.41	-0.01468
2.42	-0.00482
2.43	0.00888
2.44	0.01443
2.45	0.01817
2.46	0.03794
2.47	0.04327
2.48	0.03552
2.49	0.02625
2.5	0.00823
2.51	-0.00612
2.52	-0.01824
2.53	-0.00898
2.54	-0.00784
2.55	-0.01286
2.56	-0.02454
2.57	-0.03219
2.58	-0.02295
2.59	0.00145
2.6	0.03053
2.61	0.04415
2.62	0.04225
2.63	0.03050
2.64	0.00524
2.65	-0.00919
2.66	-0.01364
2.67	-0.01285
2.68	-0.00742
2.69	-0.00659
2.7	-0.00157
2.71	0.00331
2.72	-0.00958
2.73	-0.01876
2.74	-0.02703
2.75	-0.01706
2.76	0.00310
2.77	0.02115
2.78	0.01986
2.79	0.01509
2.8	0.02593
2.81	0.01416
2.82	-0.01143
2.83	0.01120
2.84	0.05096
2.85	0.04966
2.86	0.02051
2.87	0.01657
2.88	0.00329
2.89	0.00318
2.9	0.00686
2.91	0.01963
2.92	0.02784
2.93	0.02364
2.94	0.02026
2.95	0.00899
2.96	0.00481
2.97	0.00492
2.98	0.00400
2.99	0.00133
3	-0.02048
3.01	-0.02980
