t(s)	a(g)
0.00000	0.00000
0.02000	0.00000
0.04000	-0.00004
0.06000	-0.00004
0.08000	-0.00004
0.10000	-0.00004
0.12000	-0.00004
0.14000	-0.00005
0.16000	-0.00005
0.18000	-0.00005
0.20000	-0.00005
0.22000	-0.00005
0.24000	-0.00004
0.26000	-0.00005
0.28000	-0.00004
0.30000	-0.00004
0.32000	-0.00005
0.34000	-0.00005
0.36000	-0.00005
0.38000	-0.00005
0.40000	-0.00005
0.42000	-0.00004
0.44000	-0.00005
0.46000	-0.00005
0.48000	-0.00004
0.50000	-0.00004
0.52000	-0.00004
0.54000	-0.00004
0.56000	-0.00006
0.58000	-0.00006
0.60000	-0.00005
0.62000	-0.00005
0.64000	-0.00002
0.66000	-0.00002
0.68000	-0.00004
0.70000	-0.00006
0.72000	-0.00007
0.74000	-0.00005
0.76000	-0.00004
0.78000	-0.00002
0.80000	-0.00002
0.82000	-0.00004
0.84000	-0.00006
0.86000	-0.00008
0.88000	-0.00007
0.90000	-0.00004
0.92000	0.00000
0.94000	-0.00000
0.96000	-0.00004
0.98000	-0.00005
1.00000	-0.00008
1.02000	-0.00008
1.04000	-0.00004
1.06000	-0.00002
1.08000	-0.00001
1.10000	0.00000
1.12000	-0.00004
1.14000	-0.00007
1.16000	-0.00007
1.18000	-0.00006
1.20000	-0.00008
1.22000	-0.00002
1.24000	-0.00001
1.26000	0.00001
1.28000	-0.00000
1.30000	-0.00004
1.32000	-0.00005
1.34000	-0.00006
1.36000	-0.00004
1.38000	-0.00004
1.40000	0.00000
1.42000	-0.00002
1.44000	-0.00007
1.46000	-0.00006
1.48000	-0.00006
1.50000	-0.00007
1.52000	0.00002
1.54000	0.00005
1.56000	-0.00002
1.58000	-0.00004
1.60000	-0.00004
1.62000	-0.00008
1.64000	-0.00006
1.66000	-0.00004
1.68000	-0.00004
1.70000	-0.00002
1.72000	-0.00002
1.74000	-0.00005
1.76000	-0.00002
1.78000	0.00000
1.80000	0.00001
1.82000	-0.00002
1.84000	-0.00004
1.86000	-0.00004
1.88000	-0.00002
1.90000	-0.00004
1.92000	0.00004
1.94000	0.00001
1.96000	-0.00004
1.98000	-0.00002
2.00000	-0.00004
2.02000	-0.00004
2.04000	0.00000
2.06000	-0.00001
2.08000	-0.00006
2.10000	0.00002
2.12000	0.00002
2.14000	-0.00004
2.16000	0.00000
2.18000	0.00004
2.20000	-0.00001
2.22000	0.00004
2.24000	-0.00002
2.26000	-0.00011
2.28000	-0.00007
2.30000	0.00001
2.32000	0.00002
2.34000	0.00004
2.36000	0.00001
2.38000	-0.00007
2.40000	-0.00011
2.42000	-0.00011
2.44000	0.00011
2.46000	0.00008
2.48000	0.00001
2.50000	-0.00000
2.52000	-0.00018
2.54000	-0.00023
2.56000	-0.00004
2.58000	0.00004
2.60000	0.00011
2.62000	0.00013
2.64000	0.00004
