t(s)	a(g)
0	0.00000
0.02	0.00000
0.04	0.00002
0.06	0.00002
0.08	0.00002
0.1	0.00002
0.12	0.00002
0.14	0.00002
0.16	0.00002
0.18	0.00002
0.2	0.00002
0.22	0.00002
0.24	0.00002
0.26	0.00002
0.28	0.00000
0.3	0.00002
0.32	0.00002
0.34	0.00004
0.36	0.00002
0.38	0.00000
0.4	0.00000
0.42	0.00002
0.44	0.00002
0.46	0.00002
0.48	0.00002
0.5	0.00000
0.52	0.00002
0.54	0.00000
0.56	0.00002
0.58	0.00006
0.6	0.00008
0.62	0.00000
0.64	-0.00008
0.66	-0.00002
0.68	0.00004
0.7	0.00006
0.72	0.00008
0.74	0.00002
0.76	0.00002
0.78	-0.00002
0.8	-0.00006
0.82	0.00000
0.84	0.00012
0.86	0.00008
0.88	0.00000
0.9	-0.00002
0.92	0.00000
0.94	0.00002
0.96	0.00002
0.98	0.00002
1	0.00004
1.02	0.00001
1.04	0.00001
1.06	-0.00003
1.08	-0.00004
1.1	-0.00002
1.12	-0.00004
1.14	0.00002
1.16	0.00006
1.18	0.00011
1.2	0.00011
1.22	0.00005
1.24	-0.00010
1.26	-0.00010
1.28	0.00001
1.3	0.00001
1.32	-0.00005
1.34	-0.00001
1.36	0.00011
1.38	0.00001
1.4	-0.00003
1.42	-0.00005
1.44	-0.00001
1.46	0.00007
1.48	0.00007
1.5	-0.00005
1.52	-0.00010
1.54	-0.00009
1.56	0.00007
1.58	0.00011
1.6	0.00001
1.62	-0.00001
1.64	-0.00003
1.66	-0.00001
1.68	-0.00015
1.7	0.00003
1.72	0.00003
1.74	0.00008
1.76	0.00007
1.78	0.00003
1.8	0.00003
1.82	0.00005
1.84	-0.00003
1.86	-0.00007
1.88	0.00007
1.9	0.00005
1.92	-0.00001
1.94	-0.00013
1.96	-0.00015
1.98	-0.00010
2	0.00013
2.02	0.00026
2.04	0.00003
2.06	-0.00019
2.08	-0.00024
2.1	-0.00005
2.12	0.00018
2.14	0.00005
2.16	-0.00024
2.18	-0.00023
2.2	0.00009
2.22	0.00014
2.24	0.00002
2.26	-0.00006
2.28	0.00014
2.3	0.00008
2.32	-0.00013
2.34	-0.00027
2.36	-0.00009
2.38	0.00009
2.4	0.00033
2.42	0.00008
2.44	-0.00015
2.46	-0.00021
2.48	-0.00033
2.5	-0.00002
2.52	0.00027
2.54	0.00028
2.56	-0.00004
2.58	-0.00004
2.6	-0.00023
2.62	-0.00018
2.64	-0.00014
2.66	0.00016
2.68	0.00021
2.7	0.00006
2.72	-0.00006
2.74	-0.00008
2.76	-0.00019
2.78	0.00000
2.8	-0.00004
2.82	-0.00023
2.84	0.00006
