Period,Sa
0.01,0.8600963950157166
0.02,0.8671773076057434
0.03,0.8959487080574036
0.04,0.9403472542762756
0.05,1.0166876316070557
0.075,1.42371666431427
0.1,2.2513108253479004
0.11,2.017518997192383
0.12,1.8790315389633179
0.13,2.16145396232605
0.14,2.5329248905181885
0.15,2.5407941341400146
0.16,2.2514612674713135
0.17,2.32995867729187
0.18,2.6435294151306152
0.19,2.8275742530822754
0.2,2.6858131885528564
0.22,2.1614232063293457
0.24,2.6047465801239014
0.26,2.783421277999878
0.28,2.3051750659942627
0.3,2.3502001762390137
0.32,2.1669669151306152
0.34,2.600841522216797
0.36,2.5164666175842285
0.38,2.62141752243042
0.4,2.488973617553711
0.42,2.282290458679199
0.44,2.0067527294158936
0.46,1.771551489830017
0.48,1.6932239532470703
0.5,1.771391749382019
0.55,1.629932165145874
0.6,1.6096043586730957
0.65,1.4281011819839478
0.7,1.4130419492721558
0.75,1.5112916231155396
0.8,1.4207948446273804
0.85,1.1703115701675415
0.9,1.0409727096557617
0.95,1.0121210813522339
1.0,0.9276782870292664
1.1,1.0349454879760742
1.2,1.0534435510635376
1.3,1.0149779319763184
1.4,0.9141640067100525
1.5,0.6997251510620117
1.6,0.598944365978241
1.7,0.5173479914665222
1.8,0.4605647027492523
1.9,0.41541409492492676
2.0,0.37405088543891907
2.2,0.31315481662750244
2.4,0.2912816107273102
2.6,0.2564561367034912
2.8,0.24530191719532013
3.0,0.22905635833740234
3.2,0.225179523229599
3.4,0.2179933786392212
3.6,0.20214614272117615
3.8,0.17317824065685272
4.0,0.1562935709953308
4.2,0.14004690945148468
4.4,0.13256855309009552
4.6,0.13061866164207458
4.8,0.1276428997516632
5.0,0.12386792153120041
5.5,0.11030431091785431
6.0,0.09225374460220337
6.5,0.10260693728923798
7.0,0.10860756039619446
7.5,0.10915688425302505
8.0,0.10861029475927353
8.5,0.10603418946266174
9.0,0.10180874913930893
9.5,0.09595983475446701
10.0,0.08796310424804688
