t(s)	a(g)
0.00000	0.00000
0.01000	0.00000
0.02000	-0.00061
0.03000	-0.00058
0.04000	-0.00057
0.05000	-0.00056
0.06000	-0.00054
0.07000	-0.00054
0.08000	-0.00053
0.09000	-0.00052
0.10000	-0.00050
0.11000	-0.00049
0.12000	-0.00048
0.13000	-0.00047
0.14000	-0.00045
0.15000	-0.00044
0.16000	-0.00043
0.17000	-0.00041
0.18000	-0.00040
0.19000	-0.00039
0.20000	-0.00037
0.21000	-0.00037
0.22000	-0.00039
0.23000	-0.00039
0.24000	-0.00039
0.25000	-0.00039
0.26000	-0.00040
0.27000	-0.00039
0.28000	-0.00039
0.29000	-0.00035
0.30000	-0.00031
0.31000	-0.00026
0.32000	-0.00025
0.33000	-0.00023
0.34000	-0.00026
0.35000	-0.00031
0.36000	-0.00035
0.37000	-0.00040
0.38000	-0.00045
0.39000	-0.00054
0.40000	-0.00075
0.41000	-0.00106
0.42000	-0.00146
0.43000	-0.00196
0.44000	-0.00247
0.45000	-0.00291
0.46000	-0.00312
0.47000	-0.00309
0.48000	-0.00290
0.49000	-0.00264
0.50000	-0.00238
0.51000	-0.00215
0.52000	-0.00198
0.53000	-0.00198
0.54000	-0.00212
0.55000	-0.00229
0.56000	-0.00239
0.57000	-0.00241
0.58000	-0.00235
0.59000	-0.00227
0.60000	-0.00217
0.61000	-0.00208
0.62000	-0.00198
0.63000	-0.00185
0.64000	-0.00168
0.65000	-0.00149
0.66000	-0.00136
0.67000	-0.00133
0.68000	-0.00140
0.69000	-0.00151
0.70000	-0.00163
0.71000	-0.00172
0.72000	-0.00181
0.73000	-0.00188
0.74000	-0.00181
0.75000	-0.00133
0.76000	-0.00041
0.77000	0.00088
0.78000	0.00224
0.79000	0.00334
0.80000	0.00404
0.81000	0.00434
0.82000	0.00422
0.83000	0.00373
0.84000	0.00298
0.85000	0.00213
0.86000	0.00126
0.87000	0.00039
0.88000	-0.00018
0.89000	0.00037
0.90000	0.00223
0.91000	0.00488
